coin_symbol,PC1,PC2,PC3,PC4,PC5
AAVE,2.345058443963566,0.034967761823344184,0.602904285482879,0.8610753099119146,0.11124698528485483
AB,-0.3130227199497429,0.09342873429581965,-0.3973524036142979,-0.737759111492191,-1.3477903503143374
ADA,2.1783687279942887,0.9533877541937522,0.3562026021440745,-0.4575177597202616,0.054659950407347065
ADS,-1.4412328000714767,0.8354334946002453,0.8636510931952053,-1.7299512034012698,-1.559288297766676
AERGO,1.1625863491882813,-0.24994155593284242,-0.6568976143071897,1.6476720919222365,-1.2773659426699726
AION,-2.36507814457111,-1.773405036970347,0.39220054504890023,-3.0613550575303954,-0.7704904000058149
ALGO,1.4342941516861785,0.5179884809115517,-2.7530217801469425,1.1983608039060023,2.6718051268446343
AMB,-1.4228754698873805,-0.7088299337329316,-0.6577139023521765,-0.2790937244620195,-0.31306777892842175
APPC,-3.181146864701608,-1.2636367367871026,-2.963719863684071,-1.3681811715862682,2.08699456980153
ATOM,2.3634405868305532,0.16347143209044426,0.5460044895394038,0.8979244780229699,0.2574481377947674
AVAX,2.4262543543416566,0.5949531096069195,0.6627222842935235,0.07109950599741553,-0.0014720420757273153
BAT,1.6761156808770667,-0.12485819607711325,0.08985781356719834,0.8336568971611082,0.27016450959623095
BEAM,1.427327315550246,0.2470926712098356,-0.45866796883814287,0.930462711882745,0.26546549633860517
BIX,-3.584527492794102,-2.4538979100943528,-1.4431454102917696,-3.3558243565589603,0.3820014033885266
BNB,3.106579454658666,0.09128704309996843,1.975714800507091,0.4172033943324824,-0.045471189580032635
BNT,-8.685942341470037,10.052502308552757,2.1709915925097123,4.102980326172735,1.5331937268892006
BTC,5.106784743505737,3.6702119289609008,2.615316261776875,-1.5745747140969313,1.901012461542429
CMT,-2.2145647411511025,-2.033505461693455,-0.16069032257929589,-0.5882744056251392,-1.2233483437883963
COTI,1.6918298072362838,0.1224174961575211,-0.06382222353225293,0.7014014606857035,-0.12760359165699525
CRO,2.5470579505091004,0.9100033328534322,0.24863113567187903,0.359465893981544,-0.08208110557801057
CVC,0.29517330747892073,0.23915983101446267,-1.0147496745766265,0.08145501397563128,-0.23430664356512346
DAI,-6.1578893169457904,-2.464282181549179,2.726020191531838,0.980558703528929,1.127428090128252
DASH,-1.2363874486966466,0.5841035601368213,1.0884155212154623,-1.5552975783003857,-0.4368417999789173
DBC,-0.6316042851450129,-0.4240625417396951,-4.331312903745639,0.9883523747025604,1.7423162657841218
DCR,-1.5616362403560173,2.614779481913512,1.1843192817429584,-0.9170195353761338,-1.671703861762357
DENT,-1.6983037435782318,-1.8024091502578103,-2.317846082109294,-1.352982637270972,1.8252042507390558
DGB,0.5488085107141577,-0.31026099215085273,-0.9609134728791958,1.4868338068584896,-1.7887143979065638
DOT,2.696061801984196,0.7692212280506145,0.3404118013415417,0.582975534819315,0.47784729496481326
DRGN,-1.926859416310423,-0.6309566874565337,-0.7464797441122016,-0.3011159899372517,-1.3804842009128127
ELF,0.679534714471045,0.1965699632737045,-2.9573976024717537,0.9167014573775393,1.5423229688548121
ENJ,1.0791103971897433,0.0743010030375143,0.09923645143622233,-0.4954121790936463,-0.12501732938944368
ERG,-0.522924449199188,-0.34267450093176655,-0.08141116961848634,-0.9619329059951188,-0.68412845017721
ETC,0.46095587418616174,0.17965641530140342,0.7161162200689845,0.03782619720374064,-0.048190498445759705
ETH,2.6656404675136383,0.7902035627815903,1.8253685848441166,-1.6571625696944408,0.47808895357035947
ETN,-7.585638240532133,4.593419664821833,1.650377265103463,1.8178388780773802,-1.008117403317545
EVX,-4.046783718471713,-2.0753545436690564,-2.408870820627658,-1.2036680345591797,0.4971891184252253
FET,1.7065375547835309,0.4551876409111375,0.35776865557858567,-0.44350383653793085,-0.07485065204526604
FIRO,0.7705539944714033,-0.08879157851108667,-0.5771119678259969,1.2953997317975452,-1.0904849912271388
FUN,-3.888836247819724,-0.7524763067998891,-0.8354164432290686,-1.9073547207313286,-1.25731718009326
GNO,2.3926019043633886,0.7163827709086261,-0.645839123419892,1.1065986680938011,-0.7144773865958105
GT,1.6645033372105182,0.08909157125997315,1.6740918327121213,0.15554161013629103,-0.41795645953886756
HBAR,1.627777607291288,0.2639937678189671,0.715001503596664,0.03565509963818545,-0.023724527917956827
HT,0.8698655153642023,-0.29223351998816616,-0.06038048140674466,0.523868066918753,-0.40129575006806717
ICP,1.7463703576998437,0.6521662534858454,-2.723066249240631,2.554990375245099,2.0677469008784057
IOST,1.2701190818858115,0.6366012643970635,-1.6212176759878982,1.9468886737736664,0.06429677706095639
KCS,1.8030825553144714,0.8331228908225988,-0.3375986328921639,-0.13151193660104815,-0.6313977816095615
KDA,-2.0137554690774806,0.9007376109585826,0.7646604683964981,-1.2504483191896285,-1.0248809683783364
KEY,-2.1749405138989157,-1.2670628971980107,-0.8982640968852034,-0.9521438049364603,-0.22408211493796507
LEO,-0.9414162891342739,-2.821551533886662,2.549475680461513,2.443777013471061,-0.927903641624359
LINK,1.8408112067348603,-0.1539786963939006,1.408917430138471,-0.40560551650247334,0.15038375785501631
LPT,0.7900144183660325,-0.06620952256339878,-0.147151487581479,0.5103218718995721,-0.7579060226321103
LRC,0.5974772275542158,-0.29646902920229823,-0.3299080368983814,-0.1709695189608492,-0.2312947065209902
