# Dataset Report: AB Token (AB)
# Coin Name: AB Token
# Symbol: AB
# Approx Row Count: 2323
# Date Range: 2019-06-05 to 2026-02-08
# Frequency: Daily
# Columns Present: open, high, low, close, Volume_AB, Volume_USD
# Note: Launched ~2018. Likely Newton (NEW) rebrand.
# --------------------------------------------------
Date,open,high,low,close,Volume_AB,Volume_USD
2019-06-05,0.003552,0.0038,0.00349,0.003644,1370602904.94,4994476.99
2019-06-06,0.003644,0.00385,0.003598,0.003737,1650051117.1,6166241.02
2019-06-07,0.003737,0.003785,0.003601,0.00362,467203342.05,1691276.1
2019-06-08,0.00362,0.003671,0.003333,0.003438,596857902.1,2051997.47
2019-06-09,0.003438,0.003552,0.00335,0.00347,499131839.61,1731987.48
2019-06-10,0.00347,0.003533,0.003402,0.003495,639114423.29,2233995.71
2019-06-11,0.003495,0.003529,0.003308,0.003369,2326766096.16,7839054.14
2019-06-12,0.003369,0.003448,0.003262,0.003382,3070479203.78,10384716.84
2019-06-13,0.003382,0.003673,0.003317,0.003512,2204924359.64,7743716.4
2019-06-14,0.003512,0.00356,0.003394,0.003453,1479688240.25,5109002.45
2019-06-15,0.003453,0.003621,0.003427,0.003501,733496948.21,2567934.67
2019-06-16,0.003501,0.003549,0.003452,0.003457,1173298011.12,4055973.89
2019-06-17,0.003457,0.003543,0.003448,0.00348,2292741540.78,7978428.75
2019-06-18,0.00348,0.003481,0.003337,0.003391,1380947986.13,4682794.62
2019-06-19,0.003391,0.003671,0.00335,0.003554,1784411695.78,6341137.15
2019-06-20,0.003554,0.003677,0.003476,0.003598,2255843323.81,8115985.13
2019-06-21,0.003598,0.003604,0.003373,0.003443,1444774246.77,4973947.42
2019-06-22,0.003443,0.003452,0.003271,0.003405,2367196787.6,8060305.06
2019-06-23,0.003405,0.003512,0.003353,0.003379,1955358787.35,6606279.0
2019-06-24,0.003379,0.00345,0.003295,0.003376,2796460043.59,9440649.16
2019-06-25,0.003376,0.003375,0.003245,0.003249,2133937473.72,6933828.64
2019-06-26,0.003249,0.0033,0.002759,0.002937,3254900291.01,9559994.33
2019-06-27,0.002937,0.0033,0.002633,0.002957,1681357605.31,4972418.9
2019-06-28,0.002957,0.003227,0.002937,0.00298,3011202129.94,8974543.47
2019-06-29,0.00298,0.003152,0.002898,0.00297,2810527813.27,8346206.35
2019-06-30,0.00297,0.00313,0.002833,0.002906,1653807831.43,4805752.55
2019-07-01,0.002906,0.003013,0.0027,0.002819,257314455.64,725322.1
2019-07-02,0.002819,0.002906,0.002705,0.002798,1843281036.48,5156733.54
2019-07-03,0.002798,0.003003,0.002761,0.00289,3132978782.28,9053581.83
2019-07-04,0.00289,0.002993,0.002783,0.002797,1835133737.59,5132491.03
2019-07-05,0.002797,0.002856,0.00272,0.00274,5657427722.84,15504010.95
2019-07-06,0.00274,0.003563,0.002728,0.003253,7422596025.03,24143693.35
2019-07-07,0.003253,0.003273,0.003024,0.003056,3913728907.69,11960907.38
2019-07-08,0.003056,0.003275,0.003,0.003208,3184183862.49,10214161.31
