# Dataset Report: Enjin Coin (ENJ)
# Coin Name: Enjin Coin
# Symbol: ENJ
# Approx Row Count: 3028
# Date Range: 2017-11-01 to 2026-02-14
# Frequency: Daily
# Columns Present: open, high, low, close, Volume_ENJ, Volume_USD
# Note: Gaming & NFT ecosystem token (ERC-1155 pioneer). Migrated to Enjin Blockchain late 2023.
# --------------------------------------------------
Date,open,high,low,close,Volume_ENJ,Volume_USD
2017-12-23,0.0912,0.2,0.0912,0.1446,187100.0,28280.73
2017-12-24,0.1446,0.16,0.12,0.1333,84600.0,12011.67
2017-12-25,0.1333,0.175,0.1323,0.143,64500.0,9752.86
2017-12-26,0.143,0.17,0.1205,0.1537,69100.0,9270.89
2017-12-27,0.1537,0.175,0.1295,0.175,85000.0,12803.79
2017-12-28,0.175,0.1872,0.1221,0.155,109500.0,15514.72
2017-12-29,0.155,0.1885,0.1471,0.1667,97700.0,16337.07
2017-12-30,0.1682,0.1711,0.1387,0.1574,10700644.56,1684046.35
2017-12-31,0.1656,0.1862,0.1453,0.1821,65300.0,11145.66
2018-01-01,0.1821,0.1901,0.1614,0.1778,48800.0,8596.41
2018-01-02,0.176,0.2133,0.1471,0.194,12655132.49,2455468.36
2018-01-03,0.1733,0.27,0.1551,0.2348,211400.0,44762.73
2018-01-04,0.2224,0.3861,0.2171,0.332,20783990.6,6900560.52
2018-01-05,0.3707,0.43,0.312,0.35,222200.0,84463.06
2018-01-06,0.3666,0.4487,0.3769,0.4463,11353997.62,5067775.49
2018-01-07,0.4473,0.529,0.4055,0.4193,11391319.0,4776015.82
2018-01-08,0.4194,0.459,0.3582,0.3836,12815894.59,4915545.8
2018-01-09,0.3836,0.4532,0.3499,0.3687,9326436.95,3438868.45
