# Dataset Report: Monero (XMR)
# Coin Name: Monero
# Symbol: XMR
# Approx Row Count: 4021
# Date Range: 2015-01-26 to 2026-01-28
# Frequency: Daily
# Columns Present: open, high, low, close, Volume_XMR, Volume_USD
# --------------------------------------------------
Date,open,high,low,close,Volume_XMR,Volume_USD
2015-02-19,0.2394,0.3005,0.2538,0.2833,24546.47,6953.73
2015-02-20,0.2833,0.3118,0.277,0.3088,34026.32,10508.31
2015-02-21,0.3088,0.3109,0.2952,0.3048,26221.28,7991.7
2015-02-22,0.3048,0.309,0.2647,0.3081,31707.48,9769.05
2015-02-23,0.3081,0.3589,0.3045,0.3401,33369.13,11348.16
2015-02-24,0.3401,0.3987,0.334,0.35,36842.2,12893.81
2015-02-25,0.35,0.3766,0.3192,0.3702,16781.02,6212.92
2015-02-26,0.3702,0.382,0.3408,0.3607,34568.95,12469.31
2015-02-27,0.3607,0.4053,0.3673,0.3754,73782.56,27697.17
2015-02-28,0.3754,0.4449,0.3808,0.4187,88851.95,37201.5
2015-03-01,0.4187,0.4359,0.414,0.4264,24937.73,10632.82
2015-03-02,0.4264,0.4566,0.3972,0.4284,45411.02,19454.93
2015-03-03,0.4284,0.4406,0.4069,0.4184,41383.92,17317.07
2015-03-04,0.4184,0.4152,0.3812,0.4141,43902.14,18181.38
2015-03-05,0.4141,0.4734,0.4128,0.472,88160.77,41613.6
2015-03-06,0.472,0.5236,0.4522,0.4857,140521.66,68251.64
2015-03-07,0.4857,0.5039,0.4618,0.4618,35292.38,16299.74
2015-03-08,0.4618,0.5141,0.4529,0.4944,64223.01,31749.06
2015-03-09,0.4944,0.6833,0.4913,0.6247,168563.5,105302.14
2015-03-10,0.6247,0.8243,0.5769,0.7917,230427.65,182418.58
2015-03-11,0.7917,0.8336,0.6527,0.7118,115404.2,82145.26
2015-03-12,0.7118,0.7135,0.6523,0.7038,79071.89,55648.48
2015-03-13,0.7038,0.6893,0.6261,0.6385,75364.55,48117.84
2015-03-14,0.6385,0.7254,0.5852,0.6637,100635.21,66794.73
2015-03-15,0.6637,0.8079,0.6635,0.6834,78186.93,53435.07
2015-03-16,0.6834,0.8628,0.6897,0.8126,123973.46,100736.76
2015-03-17,0.8126,0.813,0.7371,0.7431,61775.46,45907.17
2015-03-18,0.7431,0.6802,0.627,0.6275,61743.8,38745.21
2015-03-19,0.6275,0.6868,0.6236,0.6868,41898.22,28774.35
2015-03-20,0.6868,0.689,0.6149,0.6408,17182.62,11011.27
2015-03-21,0.6408,0.7438,0.6311,0.7404,13451.86,9960.2
2015-03-22,0.7404,0.8417,0.7496,0.7912,25271.22,19994.77
2015-03-23,0.7912,0.7844,0.7321,0.7475,9013.14,6737.64
2015-03-24,0.7475,0.7535,0.6731,0.6997,7252.97,5074.89
2015-03-25,0.6997,0.7766,0.6859,0.7702,13515.66,10409.12
2015-03-26,0.7702,0.7818,0.7289,0.7384,13092.34,9666.8
2015-03-27,0.7384,0.8096,0.7298,0.7977,15904.35,12687.64
2015-03-28,0.7977,0.8554,0.782,0.8034,13674.87,10986.93
2015-03-29,0.8034,0.7909,0.6945,0.6945,8499.14,5902.89
2015-03-30,0.6945,0.981,0.7061,0.9025,77465.65,69913.6
2015-03-31,0.9025,1.048,0.8301,0.9012,219202.43,197535.95
2015-04-01,0.9012,1.061,0.9047,0.9968,113813.67,113447.14
2015-04-02,0.9968,1.049,0.9371,0.9786,84624.57,82811.27
2015-04-03,0.9786,1.02,0.8726,0.8907,124363.33,110767.93
2015-04-04,0.8907,0.986,0.7106,0.853,165348.37,141041.82
2015-04-05,0.853,0.9347,0.74,0.8823,170382.45,150321.06
2015-04-06,0.8823,0.8944,0.7639,0.7919,42642.97,33770.54
2015-04-07,0.7919,0.8194,0.7111,0.785,80932.45,63529.21
2015-04-08,0.785,0.8137,0.7193,0.7508,8884.33,6670.62
2015-04-09,0.7508,0.7599,0.7049,0.7543,6442.91,4859.84
2015-04-10,0.7543,0.8556,0.7079,0.8028,15635.87,12552.11
2015-04-11,0.8028,0.8527,0.7813,0.8348,9152.94,7640.64
2015-04-12,0.8348,0.8389,0.7915,0.7981,2818.67,2249.63
2015-04-13,0.7981,0.758,0.6605,0.688,10106.14,6952.89
2015-04-14,0.688,0.6854,0.6335,0.6527,6432.64,4198.34
2015-04-15,0.6527,0.7037,0.6555,0.6838,5101.81,3488.87
2015-04-16,0.6838,0.699,0.6486,0.6817,17980.65,12256.69
2015-04-17,0.6817,0.668,0.6297,0.6609,8027.01,5304.81
2015-04-18,0.6609,0.7239,0.6383,0.6877,10272.54,7064.37
2015-04-19,0.6877,0.6983,0.6628,0.6673,3435.3,2292.29
2015-04-20,0.6673,0.6833,0.649,0.6797,5279.82,3588.54
2015-04-21,0.6797,0.7091,0.596,0.6374,15076.91,9609.75
2015-04-22,0.6374,0.6373,0.576,0.584,8309.83,4852.79
2015-04-23,0.584,0.6191,0.5603,0.6118,14835.86,9076.65
2015-04-24,0.6118,0.6008,0.5673,0.5726,5258.09,3011.0
2015-04-25,0.5726,0.5814,0.5088,0.5599,21999.32,12317.92
2015-04-26,0.5599,0.5686,0.5314,0.5548,6378.08,3538.83
2015-04-27,0.5548,0.5802,0.5534,0.5651,4586.56,2591.74
2015-04-28,0.5651,0.5643,0.4512,0.4597,15526.87,7138.47
2015-04-29,0.4597,0.5031,0.4484,0.4957,11133.56,5518.89
2015-04-30,0.4957,0.5286,0.4805,0.501,8729.11,4373.38
2015-05-01,0.501,0.5247,0.4862,0.5012,3600.62,1804.52
2015-05-02,0.5012,0.5112,0.4874,0.4982,4361.66,2173.04
2015-05-03,0.4982,0.5165,0.4927,0.4975,4234.73,2106.78
2015-05-04,0.4975,0.4992,0.4681,0.472,5200.1,2454.27
2015-05-05,0.472,0.4778,0.4455,0.4601,10147.22,4668.58
2015-05-06,0.4601,0.4706,0.4352,0.4621,7138.5,3298.92
2015-05-07,0.4621,0.4876,0.4693,0.4781,5181.27,2477.04
2015-05-08,0.4781,0.4972,0.4853,0.4872,6348.84,3093.39
2015-05-09,0.4872,0.5492,0.4753,0.5168,8581.47,4435.22
2015-05-10,0.5168,0.5745,0.497,0.5723,10103.43,5782.24
2015-05-11,0.5723,0.577,0.4952,0.5136,8521.36,4376.61
2015-05-12,0.5136,0.5114,0.4696,0.4783,6923.73,3311.82
2015-05-13,0.4783,0.5077,0.4612,0.4843,5897.49,2856.41
2015-05-14,0.4843,0.5198,0.4764,0.4963,5812.84,2884.94
2015-05-15,0.4963,0.5745,0.4931,0.5363,20112.09,10786.3
2015-05-16,0.5363,0.6244,0.5308,0.609,10531.65,6413.78
2015-05-17,0.609,0.6241,0.5447,0.5593,13892.61,7770.44
2015-05-18,0.5593,0.5907,0.5174,0.5407,19261.14,10413.64
2015-05-19,0.5407,0.5471,0.4917,0.5155,18242.42,9404.85
2015-05-20,0.5155,0.5552,0.4908,0.5199,13898.68,7225.36
2015-05-21,0.5199,0.5397,0.3994,0.4595,55377.23,25443.72
2015-05-22,0.4595,0.4822,0.4226,0.4622,23273.03,10757.53
2015-05-23,0.4622,0.4893,0.4545,0.4721,8762.58,4137.21
2015-05-24,0.4721,0.488,0.473,0.482,4369.64,2105.99
2015-05-25,0.482,0.4793,0.462,0.4665,11539.23,5383.17
2015-05-26,0.4665,0.4709,0.4312,0.4445,20839.44,9263.61
2015-05-27,0.4445,0.4487,0.4157,0.4247,16490.75,7004.43
2015-05-28,0.4247,0.4552,0.421,0.4428,16516.88,7314.32
2015-05-29,0.4428,0.4755,0.4383,0.4418,21929.55,9689.0
2015-05-30,0.4418,0.4503,0.4294,0.4455,6220.0,2770.7
2015-05-31,0.4455,0.4937,0.4362,0.4535,17547.4,7957.3
2015-06-01,0.4535,0.463,0.4316,0.4548,9744.13,4431.23
2015-06-02,0.4548,0.4657,0.4368,0.4612,15742.92,7260.43
2015-06-03,0.4612,0.4663,0.4512,0.4537,7787.13,3532.72
2015-06-04,0.4537,0.4816,0.4489,0.4812,13353.98,6425.62
2015-06-05,0.4812,0.506,0.4745,0.497,14276.79,7095.42
2015-06-06,0.497,0.5335,0.4938,0.5248,19219.98,10086.03
2015-06-07,0.5248,0.5305,0.4939,0.5205,49958.52,26001.49
2015-06-08,0.5205,0.5531,0.5115,0.5408,28300.68,15304.91
2015-06-09,0.5408,0.5482,0.4233,0.5002,17195.36,8601.31
2015-06-10,0.5002,0.4983,0.4713,0.4811,8381.09,4032.52
2015-06-11,0.4811,0.4922,0.4586,0.4609,15653.18,7214.7
2015-06-12,0.4609,0.4955,0.4561,0.4768,12276.86,5853.87
2015-06-13,0.4768,0.494,0.4643,0.488,19625.08,9576.56
2015-06-14,0.488,0.5,0.4745,0.4979,8755.65,4359.33
2015-06-15,0.4979,0.5155,0.4953,0.5091,9118.97,4642.25
2015-06-16,0.5091,0.5369,0.4976,0.5039,20789.42,10475.52
2015-06-17,0.5039,0.5309,0.4834,0.5,14889.62,7444.14
2015-06-18,0.5,0.5091,0.4899,0.5016,7968.24,3996.87
2015-06-19,0.5016,0.5378,0.4851,0.511,11149.52,5697.0
2015-06-20,0.511,0.5588,0.5098,0.5385,15174.94,8171.19
2015-06-21,0.5385,0.5463,0.5192,0.5268,4222.45,2224.25
