# Dataset Report: Dragonchain (DRGN)
# Coin Name: Dragonchain
# Symbol: DRGN
# Approx Row Count: 2996
# Date Range: 2017-12-03 to 2026-02-14
# Frequency: Daily
# Columns Present: open, high, low, close, Volume_DRGN, Volume_USD
# Note: Launched 2017. Originally developed at Disney. Hybrid enterprise blockchain.
# --------------------------------------------------
Date,open,high,low,close,Volume_DRGN,Volume_USD
2018-04-15,0.8638,1.039,0.9171,0.9738,207485.91,202040.54
2018-04-16,0.9829,0.9568,0.8698,0.9266,210928.42,195453.52
2018-04-17,0.9266,0.991,0.8974,0.9668,348955.45,337378.39
2018-04-18,0.9668,1.209,1.003,1.182,798940.93,944310.98
2018-04-19,1.182,1.301,1.137,1.149,532424.67,611586.24
2018-04-20,1.149,1.34,1.237,1.255,304912.98,382570.13
2018-04-21,1.255,1.282,1.179,1.216,180464.49,219406.3
2018-04-22,1.228,1.348,1.164,1.305,269849.92,352098.29
2018-04-23,1.305,1.385,1.272,1.32,248707.94,328410.5
2018-04-24,1.32,1.464,1.303,1.388,206745.08,287047.54
2018-04-25,1.386,1.235,1.094,1.152,257310.25,296438.51
2018-04-26,1.149,1.256,1.099,1.2,315320.47,378343.67
2018-04-27,1.2,1.19,1.044,1.112,231969.21,257874.2
2018-04-28,1.111,1.223,1.094,1.179,257473.92,303534.08
2018-04-29,1.18,1.229,1.035,1.163,251880.91,292903.74
2018-04-30,1.166,1.266,1.102,1.181,313307.82,369894.5
2018-05-01,1.181,1.201,0.9391,1.1,251068.09,276207.14
2018-05-02,1.103,1.167,1.03,1.112,376305.51,418388.53
2018-05-03,1.102,1.26,1.142,1.143,426380.62,487396.28
2018-05-04,1.143,1.181,1.045,1.076,299578.62,322327.46
2018-05-05,1.076,1.127,0.984,1.041,496641.67,517073.26
2018-05-06,1.041,1.039,0.9303,0.9927,446094.08,442850.9
2018-05-07,0.9927,1.094,0.9142,1.089,611193.89,665880.59
2018-05-08,1.089,1.083,1.001,1.026,315723.46,323922.13
2018-05-09,1.025,1.038,0.9676,0.9842,270665.22,266378.88
2018-05-10,0.9887,0.974,0.8922,0.9132,319927.58,292156.53
2018-05-11,0.9132,0.8778,0.7951,0.8296,430209.73,356913.69
2018-05-12,0.8296,0.8744,0.8101,0.8518,211840.43,180448.95
2018-05-13,0.8518,0.9255,0.8577,0.8752,248172.1,217202.21
2018-05-14,0.8752,0.9209,0.8649,0.8722,257141.26,224269.5
2018-05-15,0.8722,0.8821,0.8009,0.8157,200448.27,163509.63
2018-05-16,0.8157,0.8396,0.7788,0.8184,133255.39,109053.78
2018-05-17,0.8191,0.7773,0.7125,0.7132,192962.24,137613.23
2018-05-18,0.7132,0.7837,0.7005,0.7636,253564.49,193627.06
2018-05-19,0.7636,0.7803,0.7315,0.7413,151969.9,112654.26
2018-05-20,0.7413,0.7817,0.7337,0.7674,122121.52,93710.67
2018-05-21,0.7774,0.8194,0.7413,0.7964,232505.56,185158.68
2018-05-22,0.7964,0.7504,0.6742,0.6953,130601.02,90808.38
2018-05-23,0.6956,0.6347,0.5989,0.6203,199581.78,123797.73
2018-05-24,0.6203,0.6749,0.6255,0.6695,160642.96,107546.85
2018-05-25,0.6696,0.6596,0.6298,0.6304,109232.44,68858.17
2018-05-26,0.6304,0.6467,0.6168,0.635,107042.57,67968.16
2018-05-27,0.635,0.6408,0.585,0.6061,137981.51,83630.17
2018-05-28,0.6061,0.5796,0.5448,0.5622,115860.62,65137.88
2018-05-29,0.5622,0.6578,0.608,0.634,159119.22,100883.85
2018-05-30,0.6341,0.6379,0.5967,0.6017,126085.59,75864.39
2018-05-31,0.6017,0.7348,0.6067,0.6124,116647.54,71439.74
2018-06-01,0.6124,0.63,0.6004,0.6184,105832.37,65444.9
2018-06-02,0.6184,0.6543,0.6094,0.6348,107409.53,68185.69
2018-06-03,0.6348,0.6871,0.6339,0.6345,137773.17,87419.28
2018-06-04,0.6345,0.6191,0.5919,0.5972,110877.94,66218.87
2018-06-05,0.6096,0.6417,0.6029,0.6167,161848.69,99819.41
2018-06-06,0.6167,0.6251,0.6014,0.613,132351.99,81127.71
2018-06-07,0.613,0.6341,0.5962,0.6165,150051.31,92510.95
2018-06-08,0.6111,0.6175,0.5581,0.5702,127974.95,72967.74
2018-06-09,0.5702,0.5725,0.5325,0.5325,160306.43,85363.05
2018-06-10,0.5325,0.4933,0.4347,0.47,189911.01,89260.0
2018-06-11,0.47,0.484,0.4266,0.4653,124754.8,58053.46
2018-06-12,0.4674,0.4484,0.3852,0.3939,236053.29,92979.77
2018-06-13,0.3939,0.3854,0.3478,0.3718,330747.29,122956.02
2018-06-14,0.3718,0.4558,0.3976,0.439,252253.66,110751.57
2018-06-15,0.439,0.4177,0.3764,0.3844,128078.44,49233.56
2018-06-16,0.3844,0.4151,0.361,0.4127,169527.88,69971.33
2018-06-17,0.4127,0.457,0.4122,0.4248,156719.53,66568.56
2018-06-18,0.4193,0.4471,0.4074,0.4358,186488.29,81279.89
2018-06-19,0.4358,0.4534,0.4154,0.419,129837.84,54397.89
2018-06-20,0.419,0.4221,0.3906,0.4075,105442.34,42965.81
2018-06-21,0.4075,0.4092,0.3721,0.3944,155993.59,61528.97
2018-06-22,0.3944,0.3517,0.3152,0.3289,292970.77,96350.19
2018-06-23,0.3289,0.3453,0.3227,0.3302,92059.62,30399.83
2018-06-24,0.3302,0.3297,0.296,0.3099,139928.54,43362.27
2018-06-25,0.3099,0.3309,0.3079,0.3242,142728.69,46279.51
2018-06-26,0.3242,0.3116,0.2881,0.3001,118527.93,35565.68
2018-06-27,0.3003,0.3132,0.2799,0.2881,149033.05,42931.23
2018-06-28,0.2863,0.2795,0.2282,0.2475,170083.03,42097.18
2018-06-29,0.2452,0.26,0.2307,0.2483,278171.91,69072.9
2018-06-30,0.2483,0.2799,0.2462,0.2463,171246.02,42177.51
2018-07-01,0.2463,0.2661,0.2436,0.262,110419.23,28924.34
2018-07-02,0.262,0.325,0.2761,0.3145,250375.63,78753.85
2018-07-03,0.3145,0.308,0.2787,0.2824,184445.76,52094.17
2018-07-04,0.284,0.3218,0.2798,0.3068,158343.36,48572.93
2018-07-05,0.3068,0.3171,0.2815,0.2824,145532.19,41098.32
2018-07-06,0.2824,0.3024,0.2823,0.2979,135735.67,40434.11
2018-07-07,0.2979,0.3191,0.2965,0.3078,78842.51,24268.45
2018-07-08,0.3078,0.3321,0.3076,0.3244,95824.73,31088.86
2018-07-09,0.3244,0.3167,0.2928,0.3036,100410.9,30488.07
2018-07-10,0.3036,0.2854,0.2562,0.2628,259027.53,68076.55
2018-07-11,0.2623,0.2789,0.2646,0.275,136871.34,37642.1
2018-07-12,0.2736,0.2697,0.2534,0.2654,630874.03,167459.56
2018-07-13,0.2685,0.2811,0.257,0.2776,3189208.83,885311.85
2018-07-14,0.2776,0.2896,0.2646,0.2763,2357112.83,651252.31
2018-07-15,0.2763,0.296,0.2757,0.2938,1724084.61,506504.52
2018-07-16,0.2938,0.3231,0.2995,0.3227,1948809.75,628930.36
2018-07-17,0.3228,0.3846,0.3296,0.3739,2506522.97,937303.38
2018-07-18,0.3739,0.3776,0.3452,0.3726,2999890.06,1117704.31
2018-07-19,0.3726,0.4023,0.3437,0.3488,2335835.44,814777.23
2018-07-20,0.3488,0.3396,0.2965,0.2999,1244616.3,373278.96
2018-07-21,0.2999,0.3207,0.3049,0.3207,59332.62,19030.67
2018-07-22,0.3207,0.3199,0.3077,0.3102,44288.19,13740.01
2018-07-23,0.3102,0.3236,0.3013,0.3013,365357.37,110064.67
2018-07-24,0.3013,0.3235,0.2814,0.2954,2092250.26,618154.11
2018-07-25,0.2958,0.3037,0.2802,0.3022,2071175.24,625877.54
2018-07-26,0.3022,0.2972,0.2753,0.2797,1630640.3,456111.23
2018-07-27,0.2797,0.2882,0.2689,0.2768,2723685.06,753884.2
2018-07-28,0.2768,0.2872,0.2719,0.2839,2958988.59,840040.42
2018-07-29,0.2839,0.2923,0.2732,0.2866,2919023.25,836649.74
2018-07-30,0.2866,0.2853,0.2641,0.2779,3107761.91,863530.23
2018-07-31,0.2779,0.2629,0.2294,0.2411,3300548.04,795598.49
2018-08-01,0.241,0.253,0.2268,0.2309,2239849.55,517245.1
2018-08-02,0.2309,0.2453,0.2243,0.2281,1817160.01,414481.14
2018-08-03,0.227,0.2412,0.2134,0.2325,2744835.12,638144.12
2018-08-04,0.2325,0.2319,0.213,0.2189,2491356.0,545401.63
2018-08-05,0.2189,0.2199,0.2122,0.2162,183336.66,39640.98
2018-08-06,0.2162,0.2168,0.203,0.2061,110853.63,22844.61
2018-08-07,0.2077,0.2139,0.1933,0.1994,974498.29,194352.9
2018-08-08,0.1994,0.1898,0.173,0.176,1878805.99,330616.48
2018-08-09,0.1736,0.2004,0.1713,0.1906,2732578.16,520698.08
2018-08-10,0.1906,0.1999,0.1713,0.1824,6023650.35,1098493.96
2018-08-11,0.1824,0.1838,0.1703,0.1815,3227718.91,585895.89
2018-08-12,0.1815,0.1846,0.1665,0.1737,4275717.95,742715.21
2018-08-13,0.1737,0.1672,0.1505,0.1593,2153158.39,343024.89
2018-08-14,0.1593,0.1584,0.1301,0.1398,4472601.66,625123.38
2018-08-15,0.1398,0.1737,0.1343,0.1653,752437.41,124408.75
2018-08-16,0.1653,0.2164,0.1527,0.1562,1427474.44,222918.12
2018-08-17,0.1562,0.1863,0.1699,0.1853,5120047.29,948592.89
2018-08-18,0.1846,0.1738,0.1637,0.1718,8963693.72,1540044.11
2018-08-19,0.1718,0.1767,0.1652,0.1756,4076613.02,715882.93
2018-08-20,0.1756,0.167,0.1528,0.1606,2087447.84,335167.41
2018-08-21,0.1604,0.1741,0.1596,0.1624,382956.61,62206.29
2018-08-22,0.1624,0.1656,0.1465,0.153,314533.36,48124.35
2018-08-23,0.1532,0.179,0.1546,0.1758,186423.13,32770.66
2018-08-24,0.1758,0.2198,0.1791,0.2061,148251.61,30559.35
2018-08-25,0.2061,0.2086,0.194,0.203,105253.6,21370.18
2018-08-26,0.203,0.2087,0.1873,0.2073,76961.81,15953.3
2018-08-27,0.2073,0.2287,0.1937,0.2073,173135.99,35898.99
2018-08-28,0.2073,0.2453,0.208,0.2305,195684.14,45099.3
2018-08-29,0.2305,0.228,0.2046,0.2168,101622.17,22036.66
2018-08-30,0.2168,0.2267,0.1957,0.2008,89215.8,17910.25
2018-08-31,0.2008,0.2141,0.1922,0.2053,68232.53,14008.27
2018-09-01,0.2053,0.2391,0.213,0.2386,78585.21,18749.79
2018-09-02,0.2386,0.239,0.2181,0.2257,48342.11,10910.35
2018-09-03,0.2257,0.2403,0.2203,0.2249,182760.25,41109.04
2018-09-04,0.2246,0.2386,0.2207,0.2339,69454.95,16244.72
2018-09-05,0.2339,0.1984,0.1849,0.1929,153052.95,29522.1
2018-09-06,0.1929,0.2017,0.1839,0.1952,104429.0,20382.85
2018-09-07,0.1952,0.2013,0.1828,0.1931,99906.42,19288.6
2018-09-08,0.1931,0.189,0.1704,0.189,105643.63,19962.23
2018-09-09,0.189,0.2027,0.1809,0.1955,114971.45,22476.92
2018-09-10,0.1955,0.2208,0.1937,0.2027,146801.9,29750.86
2018-09-11,0.2026,0.2072,0.1903,0.2072,172321.65,35702.09
2018-09-12,0.2072,0.2374,0.1944,0.2158,253014.64,54598.63
2018-09-13,0.2158,0.2554,0.2303,0.2413,110652.82,26697.24
2018-09-14,0.2413,0.2431,0.2151,0.2375,1358838.85,322704.1
2018-09-15,0.2375,0.2547,0.2329,0.24,2749811.42,660024.28
2018-09-16,0.24,0.2498,0.2225,0.2368,3534188.52,837069.44
2018-09-17,0.2368,0.2347,0.2025,0.2296,3378967.32,775685.33
2018-09-18,0.2296,0.2463,0.2267,0.2376,900608.81,213952.77
2018-09-19,0.2376,0.274,0.2345,0.2727,978979.14,266981.32
2018-09-20,0.2727,0.2949,0.2607,0.2618,558961.58,146361.52
2018-09-21,0.2618,0.3307,0.2757,0.2843,92025.7,26167.33
2018-09-22,0.2843,0.2858,0.2572,0.2706,63693.36,17237.76
2018-09-23,0.2706,0.3389,0.2402,0.2556,29639.59,7574.54
2018-09-24,0.2556,0.2507,0.2236,0.2377,75591.73,17969.71
2018-09-25,0.2377,0.2582,0.226,0.2448,703855.96,172336.6
2018-09-26,0.2448,0.2547,0.2356,0.2425,52301.35,12682.33
2018-09-27,0.2425,0.3015,0.252,0.252,68096.67,17160.29
2018-09-28,0.252,0.2696,0.2344,0.2493,50836.36,12671.22
2018-09-29,0.2493,0.27,0.244,0.244,53566.24,13072.44
2018-09-30,0.2445,0.2587,0.2286,0.241,46250.54,11145.16
2018-10-01,0.241,0.2537,0.2353,0.2496,56351.33,14064.85
2018-10-02,0.2496,0.2642,0.2238,0.2239,90715.33,20307.05
2018-10-03,0.2239,0.2395,0.2171,0.2303,31408.6,7233.67
2018-10-04,0.2303,0.2402,0.2264,0.2291,14420.13,3303.34
2018-10-05,0.2291,0.2527,0.2302,0.2329,24691.96,5751.1
2018-10-06,0.2329,0.2359,0.2215,0.2307,27108.91,6253.61
2018-10-07,0.2307,0.2369,0.2257,0.2369,62812.96,14882.43
2018-10-08,0.2369,0.2408,0.2255,0.2371,31822.67,7546.02
2018-10-09,0.2371,0.2352,0.2173,0.2176,36051.26,7846.18
2018-10-10,0.2176,0.2233,0.2083,0.2115,70237.74,14851.88
2018-10-11,0.2115,0.2005,0.1756,0.1763,74606.02,13152.68
2018-10-12,0.1763,0.19,0.1803,0.1824,64333.95,11735.08
2018-10-13,0.1824,0.1935,0.1836,0.1894,36542.42,6922.51
2018-10-14,0.1894,0.2059,0.1802,0.1965,58369.38,11472.5
2018-10-15,0.1965,0.215,0.195,0.195,63817.21,12445.06
2018-10-16,0.195,0.2144,0.1786,0.1925,51146.15,9846.63
2018-10-17,0.1925,0.2045,0.1869,0.1949,69977.26,13636.76
2018-10-18,0.1949,0.202,0.1896,0.2002,71166.62,14247.69
2018-10-19,0.1992,0.2199,0.1949,0.2087,65339.9,13639.24
2018-10-20,0.2087,0.2139,0.1945,0.2014,61043.57,12293.48
2018-10-21,0.2014,0.2041,0.1958,0.1977,45154.88,8926.44
2018-10-22,0.1977,0.2134,0.1944,0.2011,50621.49,10177.7
2018-10-23,0.2011,0.2034,0.1956,0.1974,35610.16,7028.92
2018-10-24,0.1974,0.2258,0.1925,0.1993,33002.72,6577.71
2018-10-25,0.1993,0.2137,0.1894,0.1909,60236.71,11500.82
2018-10-26,0.1909,0.2068,0.1857,0.2033,102405.61,20819.98
2018-10-27,0.2033,0.2523,0.2024,0.2105,101279.43,21318.92
2018-10-28,0.2105,0.3928,0.2012,0.2098,50112.83,10515.26
2018-10-29,0.2098,0.208,0.1871,0.1978,60854.33,12038.35
2018-10-30,0.1978,0.2305,0.1983,0.2295,90575.64,20790.94
2018-10-31,0.2296,0.2463,0.2186,0.2277,100461.5,22877.63
2018-11-01,0.2277,0.2347,0.2087,0.22,90829.68,19981.99
2018-11-02,0.22,0.24,0.2205,0.2328,147458.46,34325.55
2018-11-03,0.2328,0.2356,0.2262,0.2292,58376.79,13379.44
2018-11-04,0.2292,0.2487,0.2233,0.2297,36138.94,8300.5
2018-11-05,0.2301,0.2353,0.2225,0.2305,25747.66,5933.81
2018-11-06,0.2305,0.2481,0.2308,0.2384,74783.67,17831.58
2018-11-07,0.2384,0.2481,0.2304,0.2394,100048.61,23946.94
2018-11-08,0.2394,0.2352,0.2263,0.2341,39820.7,9322.4
2018-11-09,0.2341,0.2408,0.2299,0.2383,86037.18,20501.44
2018-11-10,0.2383,0.243,0.2269,0.2284,21406.08,4889.75
2018-11-11,0.2284,0.2299,0.2229,0.2236,37980.31,8490.7
2018-11-12,0.2236,0.2226,0.2136,0.2182,39175.84,8547.71
2018-11-13,0.2182,0.2145,0.2105,0.2116,17181.79,3635.33
2018-11-14,0.2116,0.1875,0.1552,0.1807,184955.31,33430.05
2018-11-15,0.1807,0.1819,0.1518,0.1607,169207.51,27186.94
2018-11-16,0.1619,0.1771,0.1539,0.1649,170531.91,28122.26
2018-11-17,0.1649,0.1656,0.1551,0.1589,1064296.56,169123.18
2018-11-18,0.1589,0.1685,0.1538,0.1572,2579289.28,405471.54
2018-11-19,0.1572,0.1389,0.1113,0.117,3373955.55,394619.2
2018-11-20,0.117,0.1175,0.09713,0.1123,3189453.27,358151.96
2018-11-21,0.1123,0.1462,0.1137,0.125,4775912.04,596890.62
2018-11-22,0.125,0.1226,0.1115,0.117,4524167.19,529341.85
2018-11-23,0.1169,0.1219,0.1124,0.1191,3835825.62,456852.19
2018-11-24,0.1191,0.1115,0.1036,0.1037,5537597.49,574414.99
2018-11-25,0.1037,0.1137,0.09834,0.109,2840739.41,309767.01
2018-11-26,0.109,0.1085,0.09558,0.1008,942012.83,94936.96
2018-11-27,0.1008,0.1027,0.0983,0.09892,6928185.04,685319.18
2018-11-28,0.09894,0.1256,0.1099,0.1145,3796680.1,434764.95
2018-11-29,0.1145,0.1228,0.107,0.1209,667911.32,80741.74
2018-11-30,0.1209,0.1184,0.1074,0.1114,1403307.02,156332.18
2018-12-01,0.1114,0.1202,0.106,0.1124,3207262.01,360373.41
2018-12-02,0.1124,0.123,0.1033,0.1152,6550658.33,754524.92
2018-12-03,0.1152,0.1077,0.1039,0.1075,2749679.54,295574.15
2018-12-04,0.1075,0.1128,0.1054,0.1077,794501.91,85550.78
2018-12-05,0.1077,0.1027,0.08707,0.09162,1776804.34,162783.96
2018-12-06,0.09162,0.08206,0.07287,0.07795,3721897.43,290124.36
2018-12-07,0.07795,0.09339,0.07813,0.08214,2581375.57,212041.35
2018-12-08,0.08214,0.08195,0.07195,0.07977,2876182.61,229439.58
2018-12-09,0.07977,0.08633,0.07802,0.08071,3234878.62,261087.75
2018-12-10,0.08071,0.07888,0.07276,0.0764,2883722.4,220306.62
2018-12-11,0.0764,0.07476,0.06694,0.06806,179017.1,12184.38
2018-12-12,0.06806,0.07405,0.06271,0.06965,301198.03,20977.26
2018-12-13,0.06965,0.06998,0.06575,0.06875,101913.76,7006.49
2018-12-14,0.06875,0.07118,0.06282,0.06922,172135.8,11914.81
