coin_symbol,volatility_baseline,volatility_skew,volatility_kurtosis,vol_of_vol,up_day_ratio,autocorrelation,trend_efficiency,risk_adjusted_momentum,max_drawdown,avg_drawdown_depth,avg_drawdown_duration,recovery_speed_ratio,log_avg_volume,volume_stability_cv,vol_return_correlation,crisis_liquidity_retention,btc_correlation,market_beta,downside_coupling,r_squared
AAVE,1.1209275980791935,0.4258301722323969,3.357793589939297,0.3769853895246005,0.4992272024729521,-0.002686750633925,0.0996253124784039,0.710165881174189,-0.921260969095765,-0.677045194024949,119.0625,154.16666666666666,7.229183967157126,1.3398229734074958,0.3871976809620333,2.562534239712931,0.5989642925730143,1.1433737647305289,0.5167376860869063,0.3587582237774915
AB,1.815365770133923,5.21578706102617,58.71046410017504,0.8009243163006211,0.4500430663221361,0.0565189243105584,0.1539818652132497,0.7128645611776493,-0.992406186612576,-0.7968679344813904,385.8333333333333,181.66666666666663,6.153197898420156,2.84864465468498,0.2161533039360815,2.806039366099549,0.1811240526974984,0.5213484712438862,0.2072866475339873,0.0328059224655661
ADA,1.2867585425642107,4.878858751659121,78.92104751380225,0.6667673656014935,0.4939164748438013,-0.0212031950618333,0.1343122023915702,0.8122017347536106,-0.9794778761061946,-0.7628197164936938,166.55555555555554,38.6,7.596821164001803,1.7713166250052863,0.2419054964123404,2.394168642208632,0.5661634069486595,1.078182121909475,0.6077459231587982,0.3205410033677134
ADS,4.062666413569831,27.618544131328683,963.3458607848156,1.568577129680322,0.4981718464351005,-0.0103873603993281,0.1485079886830478,0.7810556655217199,-0.9898927230466654,-0.6491189124590022,66.125,11.285714285714286,4.68660000038736,2.0335616000447083,-0.023364752507608,0.9567857765817632,0.2548417136601845,1.0030350117256623,0.1968823100204449,0.0649442990212594
AERGO,1.3425835935031514,1.4157210067423658,17.25674414493938,0.5349862620467479,0.502127659574468,-0.0153596951754725,0.1071362277770293,0.6392382053389991,-0.9647674905739422,-0.7132743533721497,256.4,94.0,5.894134004901258,5.167825890895479,0.4233842572803696,7.222030497857834,0.3977939791571871,0.8541405625051401,0.3945851592157713,0.1582400498537086
AION,8.276381495994778,8.981136321627936,136.95103956222155,1.3737606999991672,0.4642289348171701,-0.215187374722645,0.0958688641884926,1.8442115126890597,-0.9999131513647642,-0.9399371116392308,628.25,6.0,6.235153922238566,5.789005990778956,-0.0045221028016155,1.407775937042635,0.0856825650056841,1.1085318047476211,0.1154524612059722,0.0073415019459532
ALGO,1.136575092422092,0.4493659042314606,8.563106080564097,0.4181680497319746,0.4975186104218362,-0.0386852863803664,0.1249884573509165,0.1181638642574403,-0.9719050632911392,-0.8601055685213579,2418.0,2419.0,7.149886898960388,2.2994086295587626,0.319335327699569,3.1222609163381123,0.5900284429631308,1.0713231343754062,0.5814749130316654,0.3481335635054965
AMB,2.445415880268462,12.24152491565958,364.5062062201887,0.9559099818406483,0.493514915693904,-0.1850374100532711,0.1042941284608401,0.4652122658328323,-0.9999746148949712,-0.9421318155853572,769.25,21.0,5.45306413619003,2.9849551813170163,0.1126740596534253,2.554618431007387,0.2769443665069847,0.9912406136970576,0.2238502304437699,0.076698182139955
APPC,4.000799925604468,16.139929220916702,498.1075755551325,1.3491032882081575,0.4993234100135318,-0.2435346696551295,0.103271402068153,0.89401559264718,-0.9998627237627238,-0.9771304588062448,2955.0,2957.0,5.31562148416087,4.059828389551063,0.0197344257727095,1.7150719036132978,0.1742967443117251,1.0712704266241602,0.1973094881203593,0.0303793550776669
ATOM,1.0911764649970843,0.2796419759617327,6.041376377929909,0.434026669172424,0.4945498587000403,-0.0677524765495405,0.1179388065485157,0.4489636422777197,-0.9581374321880652,-0.6261270255534067,136.05555555555554,39.75,7.316885040376079,1.5328633751042748,0.3453822539681342,2.75960647828646,0.5799891430212494,1.0039845888482613,0.5479197065133479,0.3363874060225232
AVAX,1.1984266670095651,1.2269587971129492,13.12642109478922,0.4588272598911526,0.4933469805527123,0.0016117803229685,0.1353060111129776,0.7110421083937043,-0.935033636430842,-0.6862907122597677,128.06666666666666,13.0,7.574286180934942,1.2289462642344582,0.3160374037645743,2.15970028023367,0.5912992414455728,1.210691896399546,0.4696207361899026,0.3496347929341097
BAT,1.2091847351087928,1.0197505852059574,10.146322458966363,0.4445867361923509,0.5022040302267002,-0.0793057778356223,0.0971884962342164,0.5480375852555447,-0.9389926428975665,-0.7186976377912764,286.72727272727275,178.0,6.232916073435779,4.739626351236231,0.2468728206030425,3.717226945969308,0.56973617043377,0.9927624975189911,0.5583109088029669,0.3245993039005378
BEAM,1.3347161849177356,0.8581347960218428,16.638114417090097,0.4285053189334678,0.4628751974723539,-0.0669700316570192,0.1225526464202517,0.0682195700521889,-0.9991091370558376,-0.8521633084259832,279.8888888888889,6.0,6.794632769498957,1.751737539141086,0.2847523942135319,2.651333075134953,0.5194213828591276,1.1002470487382177,0.508133047495604,0.2697985729712884
BIX,12.082052070235791,8.031047196456495,71.001378350525,2.146301009930611,0.3320298613579808,-0.1535412034552538,0.119795223656157,1.9078764462808888,-0.9995423529411764,-0.9423922765133608,1405.0,2814.0,6.237228558723788,1.9753867557706333,-0.0514561598192529,1.5906750773131164,0.0191386691486097,0.354890973408227,0.0472258075976435,0.0003662886567799
BNB,1.0754089313183903,2.0582230632603338,25.89590910337895,0.6842632974179549,0.5176775867661368,-0.0179458955701985,0.1272560262950031,1.2115226298702155,-0.8007036059806508,-0.3847086918573459,73.09756097560975,100.4,7.639328137314675,2.268012171726478,0.3526350718974767,3.089747758781828,0.5949316506182927,0.938668420616129,0.6433542865445716,0.3539436689074062
