# Dataset Report: Livepeer (LPT)
# Coin Name: Livepeer
# Symbol: LPT
# Approx Row Count: 2595
# Date Range: 2019-01-03 to 2026-02-09
# Frequency: Daily
# Columns Present: open, high, low, close, Volume_LPT, Volume_USD
# Note: Launched May 2018. Decentralized Video Streaming Network.
# --------------------------------------------------
Date,open,high,low,close,Volume_LPT,Volume_USD
2021-04-10,31.26,33.74,30.64,32.09,2727.18,87505.67
2021-04-11,32.09,32.35,30.86,31.18,1243.93,38790.51
2021-04-12,31.18,32.42,30.17,30.19,3387.18,102246.1
2021-04-13,30.19,32.45,28.16,30.57,3273.59,100058.17
2021-04-14,30.57,31.05,28.16,29.1,3710.8,107992.02
2021-04-15,29.1,31.81,28.49,30.69,2156.19,66166.98
2021-04-16,30.69,33.23,29.2,32.32,2615.99,84557.84
2021-04-17,32.32,33.84,31.61,32.87,1158.62,38089.28
2021-04-18,32.87,32.12,27.0,27.88,4866.46,135684.44
2021-04-19,27.88,29.68,27.23,27.93,3081.67,86068.4
2021-04-20,27.93,29.94,27.12,29.93,1685.38,50436.62
2021-04-21,29.93,31.75,28.03,30.52,2552.58,77897.6
2021-04-22,30.52,29.92,27.11,29.04,2061.89,59886.79
2021-04-23,29.04,29.03,26.92,27.43,3625.9,99463.6
2021-04-24,27.43,29.33,26.86,28.03,3660.33,102616.93
2021-04-25,28.03,29.05,26.78,26.85,678.63,18224.22
2021-04-26,26.85,30.11,28.44,29.19,2151.41,62795.85
2021-04-27,29.19,31.19,29.62,29.76,2206.03,65643.07
2021-04-28,29.76,34.02,29.07,31.15,8110.26,252624.21
2021-04-29,31.15,35.63,29.87,34.37,3804.74,130778.74
2021-04-30,34.37,42.1,33.88,34.61,9804.72,339327.39
2021-05-01,34.61,36.08,34.47,34.59,3168.38,109594.93
2021-05-02,34.59,34.5,33.15,33.94,1341.9,45544.26
2021-05-03,33.94,34.28,32.25,32.63,4519.18,147459.88
2021-05-04,32.63,34.6,28.58,29.92,3885.63,116249.67
2021-05-05,29.92,32.31,29.9,31.06,4728.97,146879.28
2021-05-06,31.06,36.85,29.97,32.12,3678.79,118146.05
2021-05-07,32.12,33.65,31.58,32.39,6050.75,196005.25
2021-05-08,32.39,36.73,33.16,34.74,7252.67,251922.85
2021-05-09,34.74,34.56,32.18,33.23,4676.12,155376.63
2021-05-10,33.23,44.52,30.85,44.4,8029.92,356527.62
2021-05-11,44.4,46.29,39.74,40.59,3653.13,148265.3
2021-05-12,40.59,38.32,34.41,36.03,3409.05,122841.78
2021-05-13,36.03,38.02,33.58,34.18,15062.93,514912.29
2021-05-14,34.18,35.11,33.1,33.86,6007.44,203405.66
2021-05-15,33.86,31.94,29.68,31.05,12338.21,383094.48
2021-05-16,31.05,31.93,29.58,30.36,24861.82,754765.91
2021-05-17,30.36,29.91,26.47,29.14,15144.1,441310.23
2021-05-18,29.14,30.74,27.61,30.01,6129.4,183927.04
2021-05-19,30.01,26.16,20.22,22.34,29690.38,663359.93
2021-05-20,22.34,24.67,21.28,22.89,26152.39,598597.19
2021-05-21,22.89,21.11,17.74,17.89,26187.49,468516.11
2021-05-22,17.89,18.72,16.87,17.41,7922.37,137966.5
2021-05-23,17.58,17.58,10.72,13.76,9302.9,115714.9
2021-05-24,13.63,20.83,15.19,20.81,15200.9,316378.7
2021-05-25,20.81,23.92,19.88,23.75,19809.87,470489.56
2021-05-26,23.75,29.35,24.21,28.62,15266.08,436953.93
2021-05-27,28.45,32.27,27.38,31.25,9787.29,294808.43
2021-05-28,31.25,37.06,26.45,27.57,14291.14,432939.97
2021-05-29,27.57,27.85,17.5,22.96,11934.62,276941.75
2021-05-30,23.2,24.56,22.98,23.41,6535.07,152955.65
2021-05-31,23.41,25.18,23.62,23.74,7947.66,188642.58
2021-06-01,23.85,25.34,23.4,25.17,9727.37,235427.19
2021-06-02,25.17,27.63,24.39,27.63,5122.39,134072.37
2021-06-03,27.66,31.31,28.21,30.8,11554.43,355821.94
2021-06-04,30.82,32.31,27.39,28.15,5451.63,164170.52
2021-06-05,28.01,28.41,26.41,27.36,10456.54,286138.7
2021-06-06,27.44,27.48,25.47,25.52,9431.38,243172.2
2021-06-07,25.67,25.1,23.32,24.86,7693.24,191238.81
2021-06-08,24.86,26.56,24.35,25.71,20273.45,521132.62
2021-06-09,25.71,29.52,27.3,28.07,19809.89,556134.89
2021-06-10,28.07,27.99,26.38,27.28,12721.92,347047.57
2021-06-11,27.28,28.52,25.51,26.29,15863.62,417071.7
2021-06-12,26.29,25.83,24.92,25.82,12052.57,311167.82
2021-06-13,25.82,28.72,26.73,27.14,7831.19,212572.83
2021-06-14,27.14,28.76,27.06,27.27,6409.07,174803.68
2021-06-15,27.27,27.47,25.81,26.65,2944.72,78480.94
2021-06-16,26.65,25.93,25.11,25.44,4441.0,112971.69
2021-06-17,25.66,25.66,24.8,24.8,1564.8,38906.0
2021-06-18,24.75,24.61,23.29,24.3,6559.82,159427.8
2021-06-19,24.3,24.56,23.62,24.39,4037.57,98484.26
2021-06-20,24.39,26.48,24.34,25.24,18209.2,459571.84
2021-06-21,25.24,24.69,19.93,20.14,23240.03,467993.71
2021-06-22,20.14,38.3,19.52,25.22,183889.54,4637073.48
2021-06-23,25.22,32.23,23.04,24.43,509116.48,12437962.76
2021-06-24,24.43,25.79,22.89,23.17,246104.46,5703178.73
2021-06-25,23.23,23.82,19.73,19.89,133985.14,2855730.27
2021-06-26,19.89,21.56,18.33,18.57,256447.01,4761460.37
2021-06-27,18.48,21.85,18.39,20.23,107233.75,2099727.38
2021-06-28,20.23,20.5,19.1,19.44,20783.76,410489.61
2021-06-29,19.44,21.25,19.44,20.2,33936.05,698248.45
2021-06-30,20.2,23.03,18.83,19.63,92192.91,1945873.32
2021-07-01,19.63,19.74,18.14,18.38,38857.55,738690.43
2021-07-02,18.38,18.51,16.99,17.4,36708.78,639294.58
2021-07-03,17.4,18.67,17.4,17.99,54600.42,985495.63
2021-07-04,17.99,18.69,17.85,18.17,13414.27,244448.59
2021-07-05,18.17,18.23,17.01,17.3,18335.13,321846.68
2021-07-06,17.3,17.85,17.0,17.18,28479.4,494249.09
2021-07-07,17.18,17.88,17.15,17.28,47207.9,822894.19
2021-07-08,17.28,17.28,15.43,16.18,46881.08,767853.19
2021-07-09,16.18,16.9,15.36,16.07,53340.69,851373.7
2021-07-10,16.07,16.4,15.44,15.57,20228.2,320096.21
2021-07-11,15.57,15.98,15.48,15.64,20543.62,322249.18
2021-07-12,15.64,16.14,14.55,14.74,29083.39,443499.34
2021-07-13,14.74,15.42,14.09,14.57,27733.46,402873.62
2021-07-14,14.57,14.72,13.13,14.16,28847.65,401772.63
2021-07-15,14.16,15.26,13.13,13.38,28131.06,394638.82
2021-07-16,13.38,14.49,12.21,12.28,63611.65,838904.06
2021-07-17,12.28,17.19,12.12,14.14,306350.47,4509624.14
2021-07-18,14.14,14.48,12.82,12.95,85494.77,1167302.16
2021-07-19,12.95,12.99,11.51,11.58,98650.13,1202095.37
2021-07-20,11.58,11.73,10.8,11.1,30547.55,340927.5
2021-07-21,11.1,12.53,10.7,11.46,111130.57,1298782.04
2021-07-22,11.46,12.68,11.26,11.37,76550.03,892305.76
2021-07-23,11.37,12.18,11.14,12.11,105999.79,1236885.08
2021-07-24,12.11,12.92,11.82,12.06,106628.24,1299988.45
2021-07-25,12.06,12.42,11.87,12.3,77923.55,942905.95
2021-07-26,12.3,13.63,12.12,12.36,169141.75,2149219.43
2021-07-27,12.36,15.26,12.3,14.46,359233.24,5044350.6
2021-07-28,14.46,14.96,13.69,14.13,112146.25,1588375.26
2021-07-29,14.13,17.54,13.75,16.13,207511.47,3265338.68
2021-07-30,16.13,27.78,15.98,19.11,908972.52,18316349.96
2021-07-31,19.11,21.2,18.66,18.83,267982.94,5282198.64
2021-08-01,18.83,19.22,16.59,16.91,144628.59,2660954.94
2021-08-02,16.91,17.64,16.72,17.09,62061.12,1063221.83
2021-08-03,17.09,17.1,15.53,15.9,87479.24,1404019.69
2021-08-04,15.9,17.56,15.75,17.16,124070.19,2062516.66
2021-08-05,17.16,17.42,16.03,16.52,95515.05,1586072.01
2021-08-06,16.52,17.6,14.85,17.17,89127.21,1496764.16
2021-08-07,17.17,17.97,15.22,17.02,103082.18,1755748.55
2021-08-08,17.02,21.92,16.62,18.23,480525.06,9188294.32
2021-08-09,18.23,20.68,17.51,18.76,171096.94,3227017.91
2021-08-10,18.76,19.66,18.62,19.15,128513.23,2447667.25
2021-08-11,19.15,20.92,17.99,18.41,115165.02,2237723.6
2021-08-12,18.41,19.0,17.68,18.3,56816.33,1040821.02
2021-08-13,18.3,19.9,18.05,19.14,77452.3,1476619.77
