coin_symbol,volatility_baseline,volatility_skew,volatility_kurtosis,vol_of_vol
SOL,1.222723136341512,0.5537511077342876,5.764614559563704,0.4382619317260583
STEEM,1.6413084627638104,4.678067485590654,70.01742214230762,0.7464573740153128
STRAX,1.4573274072224616,1.57191978565213,23.62324447331522,0.5431438604772987
TEL,1.5622135846291232,1.1598194191595155,6.412591830370383,0.4515544589992292
THETA,1.2589782363879174,0.7751662922759798,8.704734422372045,0.4107749448484881
TRAC,1.6923906879164707,3.0824520517069978,37.42546599413191,0.4630466041202913
TRB,1.6057305737604601,1.0006474709250235,7.408871428836056,0.44982266009420846
TRX,1.422341344115447,3.818069549399301,57.136370313464944,1.0073384994943062
UNI,1.1963693762855239,1.798818613912851,14.486698935581128,0.3972892981045222
USD,0.026748690898627123,-1.3377254587217182,127.9476278343184,1.404349159846813
VET,109.51254272983272,17.522248489727446,306.7425184512239,4.724542599145786
VIBE,2.687496915534731,7.635012822726597,174.46405004275908,0.8258946237213995
VOLUME,16.808492214045238,45.995687961395696,2515.349600932436,3.330917957987012
VSYS,1.3714459873562401,3.4354356307093656,34.94239547570388,0.6147937987293405
WAVES,1.2838738985116191,1.323838821072862,11.560900724974426,0.4635323662005958
WAXP,1.2794017727221245,4.301366213188643,70.60500452011807,0.6091155201050218
WTC,2.4361746235203374,30.125464492830815,1356.083178950373,1.647295345739426
XLM,1.8096309769413994,7.515677651131802,150.5277056378946,0.8806618349452957
XMR,1.0960548522342628,1.8901232560529495,26.822202517917745,0.5593651302663044
XRP,1.5428414420224472,6.049390893222734,101.07818409894433,0.8946674730395288
ZEC,1.4361988127966718,5.709417688479881,174.28082338499095,0.476282587482843
ZIL,1.308974438733177,1.9671436734090704,25.2865495424798,0.5174162873572608
ZRX,1.5708139977972124,5.871182661195916,103.96556545275912,0.49354484875789717
