coin_symbol,volatility_baseline,volatility_skew,volatility_kurtosis,vol_of_vol
AAVE,1.1209275980791935,0.42583017223239694,3.3577935899392974,0.3769853895246005
AB,1.815365770133923,5.21578706102617,58.71046410017504,0.8009243163006211
ADA,1.2867585425642107,4.878858751659121,78.92104751380225,0.6667673656014935
ADS,4.062666413569831,27.618544131328683,963.3458607848156,1.568577129680322
AERGO,1.3425835935031514,1.4157210067423658,17.25674414493938,0.5349862620467479
AION,8.276381495994778,8.981136321627936,136.95103956222155,1.3737606999991672
ALGO,1.136575092422092,0.4493659042314606,8.563106080564097,0.4181680497319746
AMB,2.445415880268462,12.24152491565958,364.5062062201887,0.9559099818406485
APPC,4.0007999256044675,16.139929220916702,498.10757555513254,1.3491032882081575
ATOM,1.0911764649970843,0.2796419759617327,6.041376377929909,0.434026669172424
AVAX,1.1984266670095653,1.2269587971129492,13.126421094789219,0.4588272598911526
BAT,1.2091847351087928,1.0197505852059574,10.146322458966363,0.44458673619235095
BEAM,1.3347161849177356,0.8581347960218428,16.638114417090097,0.4285053189334678
BIX,12.082052070235791,8.031047196456495,71.001378350525,2.146301009930611
BNB,1.0754089313183903,2.0582230632603338,25.89590910337895,0.6842632974179549
BNT,6005.486795641074,59.262119204849455,3511.9991814882446,10.706703841481357
BTC,1.3200638948129602,21.820275282661267,1017.7779235738395,1.2467928539163902
CMT,3.235597708362684,9.82411212271722,193.6640502545975,1.5766515099137786
COTI,1.407187811346478,0.9775762873837021,9.51895398687026,0.4286698013037328
CRO,1.0318406202293986,1.6383751465050491,20.42347376653456,0.5557028843354473
CVC,1.7317048718306425,6.242662250689195,108.26951444956477,0.739132762066929
DAI,1.1257426836994964,46.97884674006379,2491.590297444174,6.279105302931495
DASH,3.7840308911467844,28.685969249284724,1032.386074143071,2.204716226616039
DBC,1.6329051875526532,1.3421067383079353,20.87290834558192,0.5731682279250521
DCR,3.5655387565751333,38.911195813342694,1886.5144030207416,2.2646192187866707
DENT,2.7421039225984454,2.712611714346912,19.52803654899277,0.7748146347133914
DGB,1.7426401156811544,5.794612479547374,104.10833236657488,0.7159439191011561
DOT,1.0418050073220475,1.159204253891501,12.210998983933457,0.45279501551196455
DRGN,3.045949096523101,18.59428755541764,568.0318071921362,1.1145128955690191
ELF,1.272869707120359,3.9339382383703203,75.9853834294405,0.6371407740788336
ENJ,1.6053005866749985,3.3680065463878774,38.371782939533404,0.6621468129217063
ERG,1.6163490713434678,6.262306380753464,149.59763406701828,0.8103860892327245
ETC,1.5325247577327035,16.259964837403764,598.3276756553171,0.5413073548942361
ETH,1.0547163703967382,0.2218021577981977,15.22820260879129,0.46215568439518856
ETN,976.4959511641587,55.017361108043154,3026.9399751978917,33.352321441253025
EVX,4.813984882542992,17.823510103267687,447.0637612221394,1.7621174329556477
FET,1.3869175435620424,0.5894809878112014,6.287903623239889,0.36956344949207187
FIRO,1.585837079084946,6.553577211832302,138.36033708323333,0.8017809488301842
FUN,413.4761900505473,23.52503663004807,592.3894577968679,4.996244998454218
GNO,1.080978407970481,0.9364720255162384,11.229126756374713,0.4975245003410956
GT,0.906868127660896,5.345370041482951,123.41295650388315,0.832304369603482
HBAR,1.2987151095302272,3.758541772213692,43.77173137617071,0.6490153327412651
HT,1.0390914237240423,-0.11305309887282936,42.09122814796563,0.7792178903202621
ICP,1.128019431536709,0.8414955223317858,6.65644465416879,0.4113546270589771
IOST,1.4715834258077523,9.803367910592995,287.08219197070713,0.5376792326328141
KCS,1.1435963182883917,3.3669689844159816,41.45259347729578,0.745469363774735
KDA,3.3577715484567503,32.49659418458601,1326.2614273113268,1.8208934164036739
KEY,3.4953730454689476,11.345864981777847,243.23956506454275,1.3744809781593368
LEO,0.829675765645933,17.35587435515498,615.0034807772512,1.2956973530536113
LINK,1.2471768671116965,0.9358890971125647,8.477356929007785,0.4573737191980358
LPT,1.7013348693641477,4.798767318161208,58.87286785190223,0.6090947396252482
LRC,1.6867084497676479,2.2696266936323117,22.57022317109587,0.5889102306019423
LTC,1.5434005605969556,6.684887254089157,113.3803850603118,0.959802082988187
MANA,2.2015110576477417,10.7917626558687,247.46284863286292,1.0655854301873695
MED,2.0008784132130497,3.591220825921226,38.3349064597399,0.8614341882977431
NEAR,1.2408471534784218,0.7020514961657823,4.880174823285262,0.37749836451214613
NEO,1.4774495839154016,3.5562195351206123,54.51302062099461,0.687585391748937
NMR,1.8132948236568363,6.5955561050287885,98.55160867654409,0.7203846093934417
OKB,1.2053787967062253,4.380939769082079,73.78831874063542,0.7470005352846307
ONGAS,2.0145739716313167,19.998363025507647,699.9298200966203,1.2208607199744803
OST,12.124658080398591,50.449009158853194,2628.138254486227,4.07048217975284
POWR,1.3323686258456124,1.681352284766158,17.84173759544859,0.5495061581808037
QNT,1.2610301112518698,1.951006309128767,20.252166305556656,0.5287244059488401
QRL,6.981182206961223,43.53996858240687,2226.6962959572875,1.2827078932560256
REQ,1.8518582348400796,8.427040668063084,198.6389315022207,0.8291141276852757
RNDR,2.372455672030167,18.106046458285956,563.5536397095378,1.177282982972412
RVN,1.3589607803332089,1.5866415901138684,13.000660895997227,0.530948523848413
SALT,1.9683548172208027,3.773813254409796,47.81015930375622,0.6924967728862838
SC,1.6742247633980862,3.150556732605649,41.87009709621855,0.6866010736535884
SHIB,1.1367574359058585,3.284858293525413,29.7113482256989,0.6048501433924236
SNT,1.602838692527283,3.816161974508271,42.285680228663566,0.680696369131077
SNX,1.4584598539387152,1.5378603184415411,13.232530999729114,0.4282144670986042
