# Dataset Report: Tierion (TNT)
# Source Exchange: HitBTC (Legacy Archive)
# Date Range: 2017-07-25 to 2026-02-15
# Note: Token retired Dec 2020 via SEC settlement. Data ends at contract pause.
# --------------------------------------------------
Date,open,high,low,close,Volume_TNT,Volume_BTC
2017-07-25,5e-05,5e-05,3.5e-05,4.9e-05,753.54,0.03694
2017-07-26,4.9e-05,4.9e-05,3.4e-05,4.1e-05,3109.9,0.1233
2017-07-27,4.1e-05,4.7e-05,3.6e-05,3.9e-05,3280.1,0.1312
2017-07-28,3.9e-05,3.9e-05,3.4e-05,3.8e-05,2637.36,0.09515
2017-07-29,3.8e-05,3.9e-05,3.3e-05,3.6e-05,228.83,0.008321
2017-07-30,3.6e-05,5e-05,2.9e-05,2.9e-05,3782.68,0.1467
2017-07-31,2.9e-05,4e-05,2.9e-05,3.2e-05,979.55,0.03016
2017-08-01,3.2e-05,3.6e-05,3.2e-05,3.3e-05,1550.91,0.05175
2017-08-02,3.3e-05,5e-05,3.3e-05,4.3e-05,2104.25,0.08538
2017-08-03,4.3e-05,4.6e-05,3.6e-05,4.4e-05,3916.99,0.1686
2017-08-04,4.4e-05,5.1e-05,3.7e-05,4.7e-05,6581.18,0.3013
2017-08-05,4.7e-05,5e-05,3.1e-05,3.8e-05,2330.02,0.09815
2017-08-06,3.8e-05,5.5e-05,2.9e-05,4.5e-05,15709.77,0.6949
2017-08-07,4.5e-05,5.3e-05,3.7e-05,4.1e-05,5834.43,0.2734
2017-08-08,4.1e-05,4.7e-05,3.9e-05,3.9e-05,1501.03,0.0606
2017-08-09,3.9e-05,4.3e-05,3.7e-05,3.7e-05,2555.4,0.09759
2017-08-10,3.7e-05,4.5e-05,3.3e-05,3.5e-05,3436.62,0.137
2017-08-11,3.5e-05,4.8e-05,3.5e-05,3.8e-05,5311.78,0.2301
2017-08-12,3.8e-05,4.9e-05,3.7e-05,3.7e-05,3402.02,0.1462
2017-08-13,3.7e-05,4e-05,2.9e-05,4e-05,13484.71,0.4536
2017-08-14,4e-05,4.5e-05,3.4e-05,4.3e-05,5346.64,0.2134
2017-08-15,4.3e-05,4.4e-05,3.6e-05,3.7e-05,16558.52,0.6962
2017-08-16,3.7e-05,4.2e-05,3.6e-05,4.1e-05,4088.65,0.1585
2017-08-17,4.1e-05,4.4e-05,2e-05,2.6e-05,36461.68,1.04
2017-08-18,2.6e-05,4.2e-05,2.5e-05,3.2e-05,101493.89,3.347
2017-08-19,3.2e-05,4.4e-05,3e-05,3.8e-05,43346.56,1.611
