# Dataset Report: Quant (QNT)
# Coin Name: Quant
# Symbol: QNT
# Approx Row Count: 2550
# Date Range: 2019-02-05 to 2026-02-02
# Frequency: Daily
# Columns Present: open, high, low, close, Volume_QNT, Volume_USD
# Note: Launched ~Aug 2018. Enterprise interoperability (Overledger).
# --------------------------------------------------
Date,open,high,low,close,Volume_QNT,Volume_USD
2019-03-07,3.894,3.921,3.502,3.637,9325.62,33915.8
2019-03-08,3.637,3.623,3.187,3.315,3263.99,10819.78
2019-03-09,3.315,3.449,3.162,3.172,7430.18,23568.6
2019-03-10,3.172,3.726,3.158,3.346,3045.66,10191.57
2019-03-11,3.346,3.604,3.232,3.236,4966.77,16070.15
2019-03-12,3.236,3.437,3.161,3.2,2663.8,8524.94
2019-03-13,3.2,3.425,3.116,3.184,2049.05,6524.58
2019-03-14,3.184,3.416,3.06,3.416,2479.23,8468.22
2019-03-15,3.416,3.635,3.142,3.601,1728.12,6223.19
2019-03-16,3.601,3.693,3.318,3.387,678.86,2299.38
2019-03-17,3.387,3.805,3.296,3.452,2890.43,9977.4
2019-03-18,3.452,3.61,3.351,3.55,1015.8,3606.17
2019-03-19,3.55,3.83,3.408,3.671,6622.7,24310.74
2019-03-20,3.671,3.78,3.323,3.323,3079.24,10231.96
2019-03-21,3.323,3.87,3.274,3.385,4521.97,15308.68
2019-03-22,3.385,3.429,3.385,3.401,2004.94,6818.23
2019-03-23,3.401,3.506,3.338,3.338,1481.3,4943.99
2019-03-24,3.338,3.335,3.224,3.224,825.81,2662.12
2019-03-25,3.224,3.787,2.943,3.186,10048.97,32011.57
2019-03-26,3.186,3.543,3.2,3.472,989.52,3435.14
2019-03-27,3.472,3.601,3.217,3.251,2835.63,9217.33
2019-03-28,3.251,3.633,3.088,3.286,5995.46,19699.1
2019-03-29,3.286,3.464,3.084,3.164,7013.02,22190.02
2019-03-30,3.164,3.173,2.889,3.089,7049.34,21772.57
2019-03-31,3.089,3.13,2.883,3.043,2522.32,7676.4
2019-04-01,3.043,3.404,2.935,3.321,7298.47,24238.63
2019-04-02,3.321,4.166,3.641,3.845,9742.55,37456.01
2019-04-03,3.845,3.981,3.085,3.185,14521.46,46243.88
2019-04-04,3.185,3.838,2.948,3.262,11421.21,37261.37
2019-04-05,3.262,3.351,3.074,3.214,5902.68,18971.66
2019-04-06,3.214,3.22,2.873,2.891,7036.5,20344.14
2019-04-07,2.891,3.1,2.809,2.954,5522.06,16313.59
2019-04-08,2.954,3.15,2.949,3.023,4257.87,12871.22
2019-04-09,3.023,3.032,2.896,2.956,66538.76,196716.45
2019-04-10,2.956,3.638,2.961,3.36,32940.33,110689.11
2019-04-11,3.36,3.539,2.894,3.146,83095.61,261398.66
2019-04-12,3.146,3.308,2.968,2.988,55289.78,165201.55
2019-04-13,2.988,3.048,2.642,2.754,149319.21,411182.95
2019-04-14,2.754,3.094,2.725,2.872,24266.8,69683.37
2019-04-15,2.872,2.816,2.504,2.694,89877.8,242169.96
2019-04-16,2.694,2.815,2.617,2.72,102830.38,279649.58
2019-04-17,2.72,2.744,2.379,2.388,60735.03,145019.13
2019-04-18,2.388,2.764,2.403,2.623,63870.77,167511.19
2019-04-19,2.623,2.707,2.584,2.595,38308.39,99402.98
2019-04-20,2.595,2.787,2.6,2.616,125784.27,329012.28
2019-04-21,2.616,2.727,2.239,2.48,143214.64,355234.38
2019-04-22,2.48,2.552,2.266,2.552,77461.6,197657.13
2019-04-23,2.552,2.744,2.497,2.497,84878.95,211944.97
2019-04-24,2.497,2.547,2.234,2.509,76692.69,192430.15
2019-04-25,2.509,2.535,2.194,2.372,50667.92,120196.81
2019-04-26,2.372,2.415,2.144,2.277,137427.69,312899.37
2019-04-27,2.277,2.861,2.275,2.468,77056.98,190160.57
2019-04-28,2.47,2.605,2.42,2.531,65398.65,165509.33
2019-04-29,2.531,2.514,2.175,2.391,160334.27,383379.88
2019-04-30,2.391,2.657,2.343,2.483,204785.4,508420.09
2019-05-01,2.483,2.592,2.21,2.537,116771.05,296294.33
2019-05-02,2.537,2.59,2.255,2.409,216643.13,521961.62
2019-05-03,2.409,2.52,2.279,2.382,150335.03,358169.4
2019-05-04,2.382,2.418,2.19,2.19,115919.05,253866.2
2019-05-05,2.19,2.486,2.076,2.417,47760.8,115452.91
2019-05-06,2.417,2.96,2.242,2.321,334574.69,776392.69
2019-05-07,2.321,2.436,2.095,2.129,233602.43,497428.5
2019-05-08,2.129,2.219,1.885,2.047,205292.31,420307.21
2019-05-09,2.047,2.129,1.693,1.693,100259.05,169735.43
2019-05-10,1.693,2.016,1.539,1.825,324321.3,591830.99
2019-05-11,1.825,2.301,1.949,2.104,311315.04,655066.6
2019-05-12,2.104,2.093,1.954,1.957,221374.02,433124.35
2019-05-13,1.957,2.303,1.952,2.126,204571.37,435011.29
2019-05-14,2.126,2.29,2.007,2.123,103337.77,219356.59
2019-05-15,2.123,2.275,2.046,2.218,24826.69,55061.08
2019-05-16,2.218,2.323,1.969,2.087,63556.17,132668.84
2019-05-17,2.087,2.094,1.879,1.946,21478.85,41802.08
2019-05-18,1.946,2.004,1.814,1.918,28536.37,54739.75
2019-05-19,1.918,2.163,2.003,2.071,15384.61,31865.0
2019-05-20,2.071,3.213,1.784,1.973,40127.83,79179.36
2019-05-21,1.973,2.085,1.832,1.987,29337.5,58293.1
2019-05-22,1.987,1.945,1.691,1.745,23885.48,41680.94
2019-05-23,1.745,3.17,1.787,2.52,87514.51,220578.57
2019-05-24,2.52,3.107,2.273,2.511,37734.17,94745.58
2019-05-25,2.511,2.564,2.346,2.431,16879.65,41028.24
2019-05-26,2.431,2.657,2.304,2.354,10406.79,24501.09
2019-05-27,2.354,2.608,2.275,2.442,35531.41,86777.55
2019-05-28,2.442,2.441,2.18,2.188,48440.77,106009.3
2019-05-29,2.188,2.27,1.96,2.27,78856.13,179012.46
2019-05-30,2.27,2.193,1.937,1.937,27978.46,54184.27
2019-05-31,1.937,2.095,1.847,2.035,27591.58,56150.51
2019-06-01,2.035,2.284,1.959,2.192,23115.66,50669.85
2019-06-02,2.192,2.495,2.08,2.289,34704.42,79449.95
2019-06-03,2.289,2.394,1.943,2.273,37542.16,85328.4
2019-06-04,2.273,3.071,2.098,2.417,223604.33,540422.05
2019-06-05,2.417,3.857,2.182,3.177,126334.55,401302.83
2019-06-06,3.177,4.992,3.183,3.56,267843.49,953564.65
2019-06-07,3.56,3.676,3.167,3.492,104877.97,366270.34
2019-06-08,3.492,4.456,3.418,3.631,108412.88,393678.73
2019-06-09,3.631,3.967,3.057,3.676,61926.71,227625.88
2019-06-10,3.676,4.099,3.44,3.646,43424.76,158341.73
2019-06-11,3.646,3.844,3.509,3.642,39416.83,143554.8
2019-06-12,3.642,4.496,3.76,4.495,36061.85,162096.56
2019-06-13,4.495,4.941,4.276,4.404,29348.72,129238.83
2019-06-14,4.404,4.955,3.921,3.923,47550.81,186528.26
2019-06-15,3.923,4.198,3.906,3.958,30806.43,121944.99
2019-06-16,3.958,4.213,3.641,3.879,17935.96,69573.69
2019-06-17,3.879,4.042,3.73,3.912,13120.64,51325.16
2019-06-18,3.912,4.541,3.761,4.087,29673.74,121269.74
2019-06-19,4.087,5.998,4.167,5.268,96707.63,509420.45
2019-06-20,5.268,6.294,4.873,5.721,73213.72,418867.14
2019-06-21,5.721,7.051,5.575,6.021,86016.75,517903.26
2019-06-22,6.021,6.638,5.645,5.861,58943.01,345469.39
2019-06-23,5.861,6.921,5.605,5.964,59059.12,352245.18
2019-06-24,5.964,7.664,6.058,7.664,129499.84,992528.4
2019-06-25,7.664,8.218,6.917,7.032,100347.05,705686.98
2019-06-26,7.032,9.143,6.463,6.747,79576.96,536920.77
2019-06-27,6.747,6.189,5.354,5.956,62200.1,370481.46
2019-06-28,5.956,7.261,6.528,7.256,32766.82,237760.2
2019-06-29,7.256,8.141,6.703,8.141,40464.85,329408.5
2019-06-30,8.141,8.831,6.743,8.184,82556.2,675679.4
2019-07-01,8.184,9.199,7.785,8.708,87887.12,765283.81
2019-07-02,8.708,8.952,8.145,8.51,35336.53,300730.59
2019-07-03,8.51,9.403,8.212,8.381,43469.38,364322.79
2019-07-04,8.381,9.403,7.656,8.871,37525.79,332874.36
2019-07-05,8.871,10.99,8.515,10.55,106685.2,1125317.98
2019-07-06,10.55,12.25,10.35,11.53,88830.99,1024235.84
2019-07-07,11.53,12.03,10.46,11.3,48922.51,552930.32
2019-07-08,11.3,13.53,11.38,13.51,68166.72,921169.6
2019-07-09,13.51,14.95,12.18,12.19,121161.87,1476964.33
2019-07-10,12.19,12.38,10.42,11.77,78136.15,919380.74
2019-07-11,11.77,15.77,11.03,12.13,278175.45,3373098.56
2019-07-12,12.13,12.98,11.8,12.09,62509.17,755879.9
2019-07-13,12.09,13.18,10.99,12.23,102631.67,1254942.26
2019-07-14,12.23,11.78,10.58,11.02,43103.67,475035.32
2019-07-15,11.02,11.81,10.28,10.97,51498.98,564923.87
2019-07-16,10.97,9.923,8.293,8.873,51466.69,456669.66
2019-07-17,8.873,9.968,8.291,9.24,53713.35,496334.5
2019-07-18,9.24,10.15,9.364,9.521,43284.65,412127.14
2019-07-19,9.521,9.947,8.848,9.059,21545.54,195189.27
2019-07-20,9.059,9.375,8.07,8.608,48196.95,414856.98
2019-07-21,8.608,9.484,8.3,8.884,33582.49,298359.17
2019-07-22,8.884,9.582,7.884,9.317,67891.83,632550.39
2019-07-23,9.317,9.127,8.393,8.967,35918.4,322090.22
2019-07-24,8.967,9.284,8.599,8.839,20643.32,182464.25
2019-07-25,8.839,9.391,8.49,8.908,15257.27,135912.1
2019-07-26,8.908,9.198,8.531,8.995,12881.66,115866.16
2019-07-27,8.995,8.657,7.516,7.571,24224.4,183409.76
2019-07-28,7.571,7.992,7.393,7.855,27243.41,214000.57
2019-07-29,7.855,8.404,7.722,7.922,7344.63,58185.08
2019-07-30,7.922,8.06,7.686,7.899,19179.28,151497.75
2019-07-31,7.899,8.485,8.068,8.384,10396.08,87162.47
2019-08-01,8.384,8.844,7.724,7.796,7196.85,56105.86
2019-08-02,7.796,8.221,7.791,8.013,7555.96,60542.59
2019-08-03,8.013,8.44,7.858,7.996,7776.04,62179.42
2019-08-04,7.996,8.531,7.886,8.396,10531.11,88414.7
2019-08-05,8.396,10.49,8.856,10.49,43250.67,453503.54
2019-08-06,10.49,10.2,9.059,9.518,45412.95,432226.52
2019-08-07,9.518,9.939,9.268,9.605,6247.47,60004.26
2019-08-08,9.605,9.75,8.388,9.106,23958.92,218163.45
2019-08-09,9.106,9.016,7.843,7.986,24446.07,195237.87
2019-08-10,7.986,7.876,7.456,7.662,13857.97,106173.83
2019-08-11,7.662,8.784,7.835,8.507,11685.49,99408.9
2019-08-12,8.507,8.854,8.268,8.37,8069.79,67542.1
2019-08-13,8.37,8.368,7.991,8.137,5653.38,45999.32
2019-08-14,8.137,8.026,7.133,7.709,23886.28,184127.49
2019-08-15,7.709,8.032,6.808,6.815,37488.14,255480.02
2019-08-16,6.815,6.859,6.238,6.854,83408.8,571722.32
2019-08-17,6.854,6.769,6.357,6.478,39320.9,254717.3
2019-08-18,6.478,6.849,6.48,6.803,9187.6,62502.63
2019-08-19,6.803,7.263,6.851,7.234,12823.89,92764.77
2019-08-20,7.234,7.163,6.582,7.075,19138.79,135412.92
2019-08-21,7.075,6.729,6.285,6.636,4763.28,31610.29
2019-08-22,6.636,6.708,6.265,6.588,8125.07,53526.98
2019-08-23,6.588,6.892,6.592,6.87,2400.87,16493.69
2019-08-24,6.87,6.75,6.265,6.364,8253.58,52526.56
2019-08-25,6.364,6.776,6.353,6.635,7912.54,52497.59
2019-08-26,6.635,7.092,6.77,7.092,12045.72,85424.29
2019-08-27,7.092,7.122,6.828,7.1,11800.93,83791.83
2019-08-28,7.1,7.098,6.573,6.806,15588.53,106095.24
2019-08-29,6.806,6.93,5.861,6.695,21921.61,146771.29
2019-08-30,6.695,6.762,6.011,6.04,12328.81,74465.61
2019-08-31,6.04,6.063,5.265,5.77,13049.48,75294.35
2019-09-01,5.77,6.154,5.13,5.668,40667.31,230486.15
2019-09-02,5.668,6.148,5.194,5.703,25323.43,144412.87
2019-09-03,5.703,6.095,5.315,5.622,43718.95,245776.59
2019-09-04,5.622,5.817,5.589,5.817,18204.91,105890.09
2019-09-05,5.817,5.801,5.39,5.661,14688.1,83153.28
2019-09-06,5.661,5.529,5.103,5.335,14800.64,78967.02
2019-09-07,5.335,5.43,4.921,5.152,34456.68,177505.39
2019-09-08,5.152,5.726,5.079,5.651,20846.08,117806.27
2019-09-09,5.651,5.625,5.157,5.444,11726.67,63842.26
2019-09-10,5.444,5.556,4.903,5.356,43009.22,230357.03
2019-09-11,5.356,5.583,5.034,5.381,13712.52,73791.96
2019-09-12,5.381,5.59,5.338,5.59,17839.15,99719.47
2019-09-13,5.59,5.705,5.45,5.617,4448.22,24983.85
2019-09-14,5.617,7.154,5.504,7.153,42665.17,305195.61
2019-09-15,7.153,7.838,6.384,7.838,35667.82,279560.64
2019-09-16,7.838,7.977,7.088,7.808,24461.89,190988.35
2019-09-17,7.808,7.943,7.415,7.918,23796.52,188425.81
2019-09-18,7.918,7.923,7.555,7.559,12940.38,97809.94
2019-09-19,7.559,9.15,6.923,9.063,51025.89,462433.76
2019-09-20,9.063,8.97,8.142,8.474,30023.15,254412.32
2019-09-21,8.474,9.864,8.292,8.542,27524.57,235116.6
2019-09-22,8.542,8.965,8.26,8.464,13768.55,116539.56
2019-09-23,8.464,8.354,7.368,7.475,13328.18,99621.97
2019-09-24,7.475,7.356,5.911,6.288,31630.92,198900.4
2019-09-25,6.288,7.121,6.218,7.121,21181.88,150831.84
2019-09-26,7.121,6.896,6.021,6.397,22103.3,141394.97
2019-09-27,6.397,6.869,6.257,6.571,10661.46,70055.7
2019-09-28,6.571,6.666,6.077,6.127,16066.54,98433.57
2019-09-29,6.127,6.127,5.68,5.874,17385.6,102121.78
2019-09-30,5.874,6.413,5.993,6.35,36927.28,234483.62
2019-10-01,6.35,6.781,6.272,6.327,37604.44,237938.85
2019-10-02,6.327,6.671,6.253,6.67,29547.74,197095.81
2019-10-03,6.67,6.556,6.045,6.337,17127.57,108542.23
2019-10-04,6.337,6.518,6.013,6.448,16974.74,109450.72
2019-10-05,6.448,6.522,6.026,6.102,27311.26,166641.66
2019-10-06,6.102,5.917,5.571,5.796,12825.55,74334.29
2019-10-07,5.796,6.477,5.963,6.467,32638.94,211073.89
2019-10-08,6.467,7.106,6.418,6.656,20189.29,134377.78
2019-10-09,6.656,6.982,6.496,6.643,63689.76,423060.04
2019-10-10,6.643,6.68,6.361,6.361,24962.67,158799.07
2019-10-11,6.361,6.141,5.725,5.979,24548.73,146782.64
2019-10-12,5.979,6.058,5.57,6.034,16782.64,101262.03
2019-10-13,6.035,6.02,5.577,5.973,11053.88,66028.86
2019-10-14,5.973,6.064,5.575,5.825,10904.31,63513.77
2019-10-15,5.825,5.954,5.206,5.73,13339.42,76440.57
2019-10-16,5.73,5.658,5.052,5.645,13293.7,75047.41
2019-10-17,5.645,5.912,5.321,5.887,17034.08,100284.12
2019-10-18,5.887,5.832,5.496,5.682,4263.58,24226.03
2019-10-19,5.682,5.703,5.383,5.618,3418.18,19204.09
2019-10-20,5.618,5.937,5.492,5.575,4362.97,24324.17
2019-10-21,5.575,5.747,5.082,5.115,10937.83,55945.49
2019-10-22,5.115,5.115,4.822,5.082,9069.07,46087.39
2019-10-23,5.082,5.181,4.481,5.066,12993.44,65823.37
2019-10-24,5.066,5.326,4.719,5.237,8055.54,42186.82
2019-10-25,5.237,6.204,5.752,5.765,7421.8,42783.32
2019-10-26,5.765,6.384,5.835,5.926,8344.92,49449.89
2019-10-27,5.926,6.638,5.701,5.821,13061.23,76030.6
2019-10-28,5.821,6.177,5.566,5.792,9728.61,56352.8
2019-10-29,5.792,6.288,5.714,6.131,9986.6,61231.43
2019-10-30,6.131,6.096,5.549,5.841,4673.34,27297.92
2019-10-31,5.841,5.99,5.747,5.99,24.25,145.26
2019-11-01,5.99,6.158,5.851,6.158,2784.2,17145.92
2019-11-02,6.158,6.192,5.801,5.928,2618.43,15522.09
2019-11-03,5.928,6.142,5.834,5.954,2760.22,16435.44
2019-11-04,5.954,6.545,6.083,6.383,1665.57,10631.49
2019-11-05,6.383,6.732,6.116,6.59,5865.27,38651.7
2019-11-06,6.59,7.31,6.572,7.196,12942.97,93131.51
2019-11-07,7.196,7.089,6.907,6.907,454.04,3136.2
2019-11-08,6.907,6.759,6.484,6.598,7122.82,46993.9
2019-11-10,6.635,6.803,6.293,6.293,2905.02,18281.87
2019-11-11,6.293,6.337,4.995,6.103,1222.12,7458.82
2019-11-12,6.103,6.876,5.847,6.875,8704.47,59842.6
2019-11-13,6.875,6.846,6.588,6.801,2624.94,17853.44
2019-11-14,6.801,8.284,6.495,7.747,5900.3,45709.63
2019-11-15,7.747,7.593,6.366,6.572,1483.98,9753.4
2019-11-16,6.572,7.777,6.39,6.68,161.74,1080.45
2019-11-17,6.68,6.693,5.773,6.259,5305.69,33206.89
2019-11-18,6.259,6.715,5.813,6.085,5499.58,33466.53
2019-11-19,6.085,6.569,5.875,6.425,1355.59,8709.27
2019-11-20,6.425,6.393,6.321,6.321,43.22,273.2
2019-11-21,6.321,8.388,5.576,5.752,2878.46,16556.67
2019-11-22,5.752,5.859,5.113,5.288,1571.12,8308.56
2019-11-23,5.288,6.312,5.322,6.274,7580.48,47556.77
2019-11-24,6.274,5.924,5.581,5.827,5.768,33.61
2019-11-25,5.827,6.002,5.294,5.605,4933.17,27650.11
2019-11-26,5.605,5.635,5.575,5.575,266.79,1487.48
2019-11-27,5.575,6.35,5.856,6.335,3316.7,21010.45
2019-11-28,6.335,6.26,5.562,5.562,404.48,2249.58
2019-11-29,5.562,10.1,5.806,6.212,770.91,4788.6
2019-12-01,6.054,6.026,5.736,6.026,5258.08,31686.31
2019-12-02,6.026,5.987,5.945,5.987,0.9356,5.601
2019-12-03,5.987,6.191,5.12,5.193,8474.39,44004.83
2019-12-04,5.193,5.499,4.541,4.939,15606.82,77089.76
2019-12-05,4.939,6.788,4.753,5.015,4687.59,23508.78
2019-12-06,5.015,5.272,4.766,4.769,7213.61,34399.6
2019-12-07,4.769,5.19,4.366,4.607,21092.66,97181.49
2019-12-08,4.607,4.81,4.335,4.62,8868.95,40977.46
2019-12-09,4.62,6.303,4.504,6.303,8.913,56.18
2019-12-10,6.303,6.203,4.268,4.463,18430.23,82259.26
2019-12-11,4.466,4.453,4.206,4.207,4827.97,20310.14
2019-12-12,4.206,4.409,3.832,4.256,7035.16,29938.54
2019-12-13,4.256,4.562,4.18,4.274,1710.19,7309.78
2019-12-14,4.274,4.446,4.077,4.133,2.776,11.47
2019-12-15,4.133,4.399,3.874,4.202,7748.28,32561.4
2019-12-16,4.202,7.021,3.656,3.775,4675.72,17650.42
2019-12-17,3.775,3.892,3.386,3.632,5192.26,18857.23
2019-12-18,3.632,3.992,3.495,3.655,8009.65,29271.74
2019-12-19,3.655,3.817,3.512,3.546,859.47,3047.66
2019-12-20,3.546,3.911,3.478,3.478,1741.84,6057.78
2019-12-21,3.478,3.722,3.457,3.581,806.69,2888.89
2019-12-23,3.76,3.736,3.526,3.542,10006.53,35439.91
2019-12-24,3.542,3.51,3.413,3.413,4.159,14.2
2019-12-25,3.413,3.601,3.386,3.459,4171.37,14430.71
2019-12-26,3.459,3.621,3.462,3.621,4.204,15.22
2019-12-27,3.621,4.353,3.644,4.353,3.0,13.06
2019-12-28,4.353,4.39,3.293,3.341,831.21,2776.73
2019-12-29,3.341,3.773,3.379,3.455,510.88,1765.0
2019-12-30,3.455,3.399,3.378,3.399,1.183,4.022
2019-12-31,3.399,3.671,2.809,3.586,3917.55,14049.09
2020-01-01,3.586,3.674,3.588,3.588,32.51,116.66
2020-01-02,3.588,3.588,3.275,3.392,4619.75,15671.6
2020-01-03,3.392,3.574,3.566,3.566,2.351,8.383
2020-01-04,3.566,3.61,3.515,3.515,2.876,10.11
2020-01-05,3.515,3.718,3.313,3.718,2737.22,10177.67
2020-01-06,3.718,3.922,2.838,3.341,14418.46,48172.97
2020-01-07,3.341,4.08,3.142,3.868,15112.36,58454.77
2020-01-08,3.868,3.934,3.419,3.638,13438.75,48890.4
2020-01-09,3.638,3.535,3.526,3.526,405.37,1429.18
2020-01-10,3.526,3.956,2.949,3.397,18134.14,61593.0
2020-01-11,3.397,3.328,2.642,2.781,38481.02,107028.01
2020-01-12,2.781,3.181,2.731,3.029,206532.15,625542.01
2020-01-13,3.029,3.405,2.837,3.097,331016.65,1025061.22
2020-01-14,3.097,3.451,2.783,3.017,90090.06,271780.53
2020-01-15,3.017,3.702,3.014,3.498,8443.77,29536.0
2020-01-16,3.498,3.461,3.13,3.434,3426.94,11767.39
2020-01-17,3.434,4.702,3.296,3.51,4541.25,15939.33
2020-01-19,3.516,3.434,3.064,3.263,1955.82,6382.76
2020-01-20,3.263,3.367,3.145,3.367,969.4,3264.23
2020-01-21,3.367,3.531,3.194,3.484,13870.77,48323.39
2020-01-22,3.484,3.549,3.305,3.381,3672.26,12416.27
2020-01-23,3.381,3.336,3.1,3.207,1735.04,5563.61
2020-01-24,3.207,3.373,3.121,3.186,5188.0,16526.51
2020-01-25,3.186,3.207,3.153,3.156,13.29,41.94
2020-01-26,3.156,3.785,3.201,3.785,8902.18,33695.13
2020-01-27,3.785,4.254,3.746,4.005,17403.71,69693.56
2020-01-28,4.005,4.771,4.226,4.461,10738.54,47906.62
2020-01-29,4.461,4.875,4.266,4.848,13381.18,64876.17
2020-01-30,4.848,4.961,4.042,4.224,26204.15,110694.55
2020-01-31,4.224,4.572,4.05,4.449,4092.33,18205.83
2020-02-01,4.449,4.568,4.346,4.568,2425.76,11081.72
2020-02-02,4.568,5.022,4.544,4.952,8187.83,40544.66
2020-02-03,4.952,4.928,4.384,4.842,7368.56,35681.03
2020-02-04,4.842,4.788,4.35,4.608,5566.28,25649.43
2020-02-05,4.608,4.941,4.623,4.854,3154.1,15309.27
2020-02-06,4.854,5.074,4.791,4.81,2909.82,13995.16
2020-02-07,4.81,5.052,3.142,4.584,32446.24,148747.43
2020-02-08,4.584,4.629,3.729,4.081,18027.26,73570.12
2020-02-09,4.081,4.824,3.655,4.305,25322.25,109008.92
2020-02-10,4.305,4.633,4.08,4.629,11619.8,53791.9
2020-02-11,4.629,5.455,4.686,5.084,22343.94,113605.41
2020-02-12,5.084,5.245,4.657,4.939,15798.0,78027.38
2020-02-13,4.939,5.146,4.313,4.886,12620.4,61668.45
2020-02-14,4.886,5.47,4.539,4.621,10860.58,50183.75
2020-02-15,4.621,6.07,4.193,4.259,11682.89,49761.34
2020-02-16,4.259,4.402,4.021,4.248,7722.8,32807.37
2020-02-17,4.248,4.334,3.785,3.922,19239.05,75450.6
2020-02-18,3.922,4.429,3.896,4.318,13613.36,58788.49
2020-02-19,4.318,4.072,3.634,3.787,10892.64,41252.59
2020-02-20,3.787,3.885,3.613,3.885,8389.68,32592.55
2020-02-21,3.885,3.953,3.638,3.87,5949.77,23028.08
2020-02-22,3.87,4.173,3.859,4.105,5395.02,22144.22
2020-02-23,4.105,6.168,4.054,4.245,6297.96,26737.23
2020-02-24,4.245,5.561,3.837,3.915,3186.46,12474.9
2020-02-25,3.915,5.478,3.422,4.089,7309.7,29888.42
2020-02-26,4.089,3.859,3.205,3.445,14123.9,48660.98
2020-02-27,3.445,3.514,3.365,3.365,58.33,196.25
2020-02-28,3.388,3.494,3.308,3.401,2314.78,7871.46
2020-02-29,3.401,3.367,2.993,3.324,21340.83,70940.76
2020-03-01,3.324,3.326,3.096,3.27,167.68,548.34
2020-03-02,3.126,3.557,3.253,3.383,3279.04,11093.84
2020-03-03,3.383,3.544,3.199,3.299,8920.62,29424.89
2020-03-04,3.299,3.482,3.223,3.393,11587.75,39315.16
2020-03-05,3.393,3.721,3.396,3.473,18164.0,63082.37
2020-03-06,3.473,3.573,3.409,3.519,7141.69,25128.08
2020-03-07,3.519,3.614,3.295,3.407,2921.75,9955.73
2020-03-08,3.407,3.209,2.861,2.927,13582.77,39750.6
2020-03-09,2.927,3.007,2.783,2.9,10820.48,31376.21
2020-03-10,2.9,3.058,2.811,2.982,6892.86,20553.22
2020-03-11,2.982,3.027,2.672,2.705,9057.44,24496.76
2020-03-12,2.705,1.687,1.306,1.48,51992.05,76945.67
2020-03-13,1.48,2.243,1.6,2.027,44074.45,89346.21
2020-03-14,2.027,1.994,1.764,1.916,9327.1,17872.76
2020-03-15,1.916,1.981,1.654,1.769,12689.38,22446.09
2020-03-16,1.769,1.816,1.479,1.736,28396.94,49296.65
2020-03-17,1.736,2.369,1.837,1.899,3621.47,6877.68
2020-03-18,1.899,2.678,1.873,2.154,11323.99,24390.25
2020-03-19,2.154,2.533,2.235,2.321,34517.85,80100.98
2020-03-20,2.321,2.465,2.194,2.391,18502.38,44234.02
2020-03-21,2.391,2.398,2.05,2.318,2132.83,4943.28
2020-03-22,2.318,2.318,2.011,2.053,3838.67,7879.54
2020-03-23,2.053,2.674,2.265,2.673,9010.51,24084.65
2020-03-24,2.673,2.781,2.44,2.653,3518.4,9333.38
2020-03-25,2.653,2.805,2.357,2.796,6716.46,18775.88
2020-03-26,2.796,3.304,2.651,3.081,26628.6,82041.37
2020-03-27,3.081,3.546,2.867,3.269,27733.16,90649.49
2020-03-28,3.269,3.678,2.984,3.228,17202.4,55532.11
2020-03-29,3.228,3.683,2.965,3.171,11523.69,36535.93
