coin_symbol,volatility_baseline,volatility_skew,volatility_kurtosis,vol_of_vol,up_day_ratio,autocorrelation,trend_efficiency,risk_adjusted_momentum,max_drawdown,avg_drawdown_depth,avg_drawdown_duration,recovery_speed_ratio,log_avg_volume,volume_stability_cv,vol_return_correlation,crisis_liquidity_retention,btc_correlation,market_beta,downside_coupling,r_squared
AAVE,-0.12894261312307545,-0.6936833864413776,-0.4976839113396729,-0.3018763402056803,0.4883211159415782,0.7638784855191522,-0.7894540158460921,0.0692513573776189,0.3203122245099852,0.5635805493143955,-0.6013355358975925,-0.2719953555141611,0.582907275736592,-0.46725491424166604,1.3871315468766736,-0.31274337864021917,1.1396918813332952,-0.09727081140954769,0.7405025669095239,1.230061780869345
AB,-0.12782347142235723,-0.33296279926870875,-0.41945411787914844,-0.18327199341746886,-0.6925060258540928,1.431328871009601,1.8396244386769711,0.07736566005365499,-0.3292896656575776,-0.15273787259057844,-0.25080228255450976,-0.239531959642546,-0.26528375780847663,-0.2082084350831585,0.14622106007507393,-0.18995360373190276,-1.071770386702035,-0.14355045720742268,-0.8981417078484191,-1.0494562930621745
ADA,-0.12867536352086315,-0.35833609184975795,-0.39089054991412336,-0.22080475226500654,0.3608196120429192,0.5551348476346316,0.8882564042751194,0.3760494211308299,-0.21124582188643382,0.05080751190586014,-0.5389303056590569,-0.40842031731645156,0.8727126765884181,-0.39317266011405005,0.33305073701367544,-0.39764333178138317,0.9660898344408901,-0.10212117066395757,1.2224208934113319,0.9627930906073737
ADS,-0.12420176978594168,1.354137079144019,0.8590648693236906,0.03149233875515802,0.4629838191771934,0.6770662844717131,1.5748679351055512,0.2824004399280631,-0.30634011626731844,0.7305280741731262,-0.6708946922228383,-0.4406644798652974,-1.4213909073997906,-0.3481483618129711,-1.591459378108614,-1.1224573065277217,-0.6816121153125445,-0.10771223211830246,-0.9532360716577685,-0.8246994500190186
AERGO,-0.1285853970631357,-0.6191369946154589,-0.4780405586122804,-0.25767282622321125,0.5579561392869499,0.6210110707403074,-0.4261714934666908,-0.14401165605730065,-0.07693047954333392,0.34699716829946425,-0.4208759253791801,-0.3430213307241797,-0.46950171005012276,0.1899670028931448,1.6496616739445564,2.036851905918019,0.07497739212927931,-0.1187902098844002,0.09366505833101857,-0.17224401593370392
AION,-0.11741103671069324,-0.049403045448778,-0.30887690449074223,-0.023010972751672572,-0.3519275414111503,-1.6317301043326349,-0.9711431916242443,3.479062632056055,-0.39783311330801857,-1.0080270006355392,0.0677299264185563,-0.4469041975133481,-0.20067849332825893,0.29661613167680745,-1.4547577687026085,-0.8950412306914668,-1.5769042361811727,-0.09986310722741434,-1.384433705306757,-1.2275394254193275
ALGO,-0.12891739595596743,-0.6919109648385646,-0.49032725596450416,-0.290354769044377,0.4473007377036142,0.358051905827524,0.4372922432212724,-1.7107609241551933,-0.14210113879676947,-0.5307819904930636,2.4194371289330077,2.4016112293305545,0.5203980442650027,-0.3025056342163901,0.8947967078912933,-0.030495880803709293,1.0923979819927654,-0.10263148996597411,1.0833073181645252,1.1557591757890455
AMB,-0.12680809614465993,0.1961292871702604,0.01272625438911973,-0.13991203644748085,0.3511788623958955,-1.291836917404748,-0.5636360989625006,-0.6672671531240021,-0.3983943151258272,-1.0211472719734278,0.25300201221519697,-0.4291968906742853,-0.8171934866238746,-0.1848055622092917,-0.6045108939906814,-0.3167350004331329,-0.5646315611927583,-0.10858975360959645,-0.8104321288742569,-0.7424997266235853
APPC,-0.12430147249432558,0.4897091090093111,0.20154474196657463,-0.02990931596634446,0.4906308947453285,-1.9513010398559565,-0.6131025899116602,0.6220446503508229,-0.3973726766582277,-1.2303744419188114,3.1250478386691496,3.0367133012916065,-0.9255384071251518,-0.0002628004038750518,-1.2787789893667898,-0.7400843181805733,-1.107904615640533,-0.10263541150434885,-0.9509740241590751,-1.066426273627017
ATOM,-0.12899055941263107,-0.7046924817674416,-0.4938912103678218,-0.2859180422403507,0.3760260771179355,0.030365289608192042,0.09631982859973737,-0.7161229824279943,-0.016393754662715195,0.8679770432260488,-0.5790068915937913,-0.40706275712545675,0.6520413157561933,-0.43411220624945634,1.0837646501154714,-0.21336782883474498,1.0392639587460468,-0.10764158210880635,0.9056215449750501,1.0736134809315017
