coin_symbol,btc_correlation,market_beta,downside_coupling,r_squared
SNT,0.4325744738629056,1.0041598852469218,0.44173045713072706,0.18712067543776958
SNX,0.4944910240230118,1.1426394474199022,0.4335725512837056,0.24452137283932684
SOL,0.5353996207029186,1.1204937609521242,0.41431926965452537,0.2866527538488291
STEEM,0.4147831628619881,0.9974921386253076,0.4500087677836427,0.17204507219379453
STRAX,0.4586325653319146,0.9781773576047804,0.472045356976359,0.2103438299829329
TEL,0.5099681895540228,1.2280841804255704,0.4361501548895888,0.26006755435700774
THETA,0.5736473667443106,1.115098611706488,0.5040168925446101,0.3290713013726816
TRAC,0.42487661872401566,1.1180703757445987,0.3565403573950279,0.18052014113835257
TRB,0.4857117310887321,1.272163343309213,0.45856643261027014,0.2359158857172128
TRX,0.42424517005197826,0.8857011102575827,0.45191166910079683,0.17998396431243194
UNI,0.5629512674655293,1.1514798555440753,0.4849489980276623,0.31691412954104586
USD,-0.10328695678649515,-0.004358886500016534,-0.24989310072234122,0.010668195442215317
VET,0.016500147505167942,2.6665513657443043,0.0014512959913791368,0.00027225486769229983
VIBE,0.2788091035234448,1.110515736369916,0.3223227551385008,0.07773451620754696
VOLUME,0.13038954770039976,1.725538695429793,-0.08257502630593015,0.017001434149514823
VSYS,0.3537484535988267,0.7570330873539404,0.3863072828313405,0.12513796842356123
WAVES,0.5259423686828497,0.9854325498752073,0.5412501958656277,0.2766153751757266
WAXP,0.48084083193717714,1.0014781079030803,0.538918234340811,0.23120790565803662
WTC,0.25138782158885753,0.9015510691432272,0.45389992541868124,0.06319583684319126
XLM,0.3065766575787052,0.8152191465508576,0.27079705318221076,0.09398924697213068
XMR,0.5231006465293588,0.8572638824224915,0.5718951629965339,0.2736342863994332
XRP,0.335425765094206,0.7744100350093738,0.3572237492268812,0.11251044388903347
ZEC,0.4385425095985119,0.911628688441168,0.4555823474325555,0.19231953272496088
ZIL,0.563363472071923,1.1335671404725693,0.5597017651177661,0.3173784016649324
ZRX,0.4372525920741039,1.0088563762076468,0.36853251709126583,0.1911898292755227
