coin_symbol,btc_correlation,market_beta,downside_coupling,r_squared
AAVE,0.5989642925730143,1.1433737647305289,0.5167376860869063,0.3587582237774915
AB,0.18112405269749843,0.5213484712438862,0.20728664753398734,0.032805922465566184
ADA,0.5661634069486595,1.078182121909475,0.6077459231587982,0.32054100336771346
ADS,0.2548417136601845,1.0030350117256623,0.19688231002044493,0.06494429902125946
AERGO,0.3977939791571871,0.8541405625051401,0.3945851592157713,0.15824004985370863
AION,0.08568256500568419,1.1085318047476211,0.11545246120597229,0.007341501945953297
ALGO,0.5900284429631308,1.0713231343754062,0.5814749130316654,0.34813356350549657
AMB,0.2769443665069847,0.9912406136970575,0.2238502304437699,0.07669818213995505
APPC,0.17429674431172518,1.0712704266241602,0.19730948812035934,0.030379355077666904
ATOM,0.5799891430212494,1.0039845888482613,0.5479197065133479,0.33638740602252326
AVAX,0.5912992414455728,1.210691896399546,0.4696207361899026,0.34963479293410976
BAT,0.56973617043377,0.9927624975189911,0.5583109088029669,0.3245993039005378
BEAM,0.5194213828591276,1.1002470487382177,0.508133047495604,0.26979857297128845
BIX,0.01913866914860977,0.354890973408227,0.04722580759764351,0.00036628865677994747
BNB,0.5949316506182927,0.938668420616129,0.6433542865445716,0.35394366890740625
BNT,0.014362590456884955,127.87008838793635,0.36911638155278115,0.0002062840046322028
BTC,1.0,1.0,1.0,1.0
CMT,0.15868791877573055,0.741477488215092,0.17009063570310579,0.025181855565372856
COTI,0.5114990251352072,1.1508235726064027,0.4765935646444742,0.2616312527142673
CRO,0.5976052964695534,0.9779840904801066,0.526816438901581,0.35713209036846283
CVC,0.4045936969888263,1.0144003851604577,0.4130624349952622,0.1636960596430862
DAI,0.04156227400199462,0.07069757109175524,-0.004309038865473905,0.0017274226202168782
DASH,0.39017046009344303,1.1635039651182306,0.12918135404154907,0.15223298792952902
DBC,0.38791268885098235,0.951371989487934,0.3987186571006552,0.15047625417159904
DCR,0.18238517632082207,0.9634175878310419,0.4120988870749822,0.033264352541577356
DENT,0.3117498226274,1.309859941591778,0.27694811899475263,0.09718795190821534
DGB,0.3762757097160896,0.9826749600109043,0.414148914105689,0.14158340972234693
DOT,0.6452281658738027,1.1501459338740923,0.5966481334619045,0.41631938603687146
DRGN,0.1998006237941291,0.9079994914925743,0.14637196875073563,0.03992028926852311
ELF,0.4821520698855461,0.9398879221261858,0.5018581749069811,0.23247061849491651
